Place,Car No.,Team,Team.1,Run #1 Time,Run #1 # of Cones,Run #1 Off Course/Missed Slalom,Run #1 Adj.,Run #2 Time,Run #2 # of Cones,Run #2 Off Course/Missed Slalom,Run #2 Adj.,Run #3 Time,Run #3 # of Cones,Run #3 Off Course/Missed Slalom,Run #3 Adj.,Run #4 Time,Run #4 # of Cones,Run #4 Off Course/Missed Slalom,Run #4 Adj.,Best Time,Event Score
1,1,Kyoto Institute of Technology,京都工芸繊維大学,55.666,0,0,55.666,55.406,0,0,55.406,,,,,,,,,55.406,125.0
2,12,Osaka University,大阪大学,58.808,1,0,60.808,56.698,0,0,56.698,72.626,1,1,94.626,68.531,0,2,108.531,56.698,116.29
3,76,U.A.S. Graz,U.A.S. Graz,57.546,0,0,57.546,56.721,0,0,56.721,75.577,0,0,75.577,71.769,0,0,71.769,56.721,116.14
4,2,Shibaura Institute of Technology,芝浦工業大学,57.547,0,0,57.547,56.910,0,0,56.910,71.978,0,0,71.978,71.056,0,0,71.056,56.91,114.9
5,3,Nagoya Institute of Technology,名古屋工業大学,57.070,0,0,57.070,55.641,1,0,57.641,,,,,,,,,57.07,113.86
6,18,Ibaraki University,茨城大学,60.934,1,0,62.934,57.910,0,0,57.910,,,,,,,,,57.91,108.48
7,4,Nihon Automobile College,日本自動車大学校,59.781,0,0,59.781,58.101,0,0,58.101,,,,,,,,,58.101,107.28
8,5,Yokohama National University,横浜国立大学,58.957,0,0,58.957,58.174,0,0,58.174,,,,,,,,,58.174,106.83
9,10,Chiba University,千葉大学,58.311,0,0,58.311,56.944,2,0,60.944,,,,,,,,,58.311,105.97
10,32,Kobe University,神戸大学,59.684,1,0,61.684,58.317,0,0,58.317,,,,,,,,,58.317,105.94
11,9,Kyoto University,京都大学,61.095,0,0,61.095,58.452,0,0,58.452,,,,,,,,,58.452,105.1
12,6,Tongji University,Tongji University,61.392,0,0,61.392,58.623,0,0,58.623,,,,,,,,,58.623,104.04
13,7,Meijo University,名城大学,59.486,3,0,65.486,58.755,0,0,58.755,,,,,,,,,58.755,103.23
14,22,Shizuoka Insutitute Science and Technology,静岡理工科大学,63.102,1,0,65.102,59.149,0,0,59.149,,,,,,,,,59.149,100.83
15,21,Waseda University,早稲田大学,62.534,1,0,64.534,59.267,0,0,59.267,,,,,,,,,59.267,100.12
16,E1,Nagoya University EV,名古屋大学EV,60.182,0,0,60.182,58.092,1,0,60.092,,,,,,,,,60.092,95.22
17,E4,Tongji University EV,Tongji University EV,60.715,1,0,62.715,60.105,0,0,60.105,,,,,,,,,60.105,95.14
18,23,Tokai University,東海大学,60.251,0,0,60.251,59.353,1,0,61.353,,,,,,,,,60.251,94.29
19,14,Tokyo City University,東京都市大学,61.289,0,0,61.289,60.319,0,0,60.319,72.652,0,0,72.652,,,,,60.319,93.89
20,28,Sophia University,上智大学,58.810,1,0,60.810,,,,,,,,DNF,,,,,60.81,91.06
21,30,University of Yamanashi,山梨大学,62.364,0,0,62.364,60.824,0,0,60.824,,,,,,,,,60.824,90.98
22,44,Prince of Songkla University,Prince of Songkla University,63.517,0,0,63.517,61.056,0,0,61.056,,,,,,,,,61.056,89.66
23,15,Nippon Institute of Technology,日本工業大学,64.610,0,0,64.610,61.120,0,0,61.120,76.763,0,0,76.763,95.070,1,0,97.070,61.12,89.3
24,17,KASETSART UNIVERSITY,KASETSART UNIVERSITY,63.478,0,0,63.478,61.145,0,0,61.145,,,,,,,,,61.145,89.16
25,29,Kyushu Institute of Technology,九州工業大学,64.141,0,0,64.141,61.301,0,0,61.301,,,,,,,,,61.301,88.28
26,8,Tokyo University of Science,東京理科大学,61.492,0,0,61.492,60.408,1,0,62.408,,,,,,,,,61.492,87.2
27,20,Osaka Institute of Technology,大阪工業大学,64.923,0,0,64.923,62.391,0,0,62.391,85.945,1,0,87.945,87.944,0,1,107.944,62.391,82.25
28,26,Tokyo University of Agriculture and Technology,東京農工大学,68.596,1,0,70.596,62.445,0,0,62.445,,,,,,,,,62.445,81.95
29,34,King Mongkut's University of Technology Thonburi,King Mongkut's University of Technology Thonburi,68.260,0,0,68.260,62.890,0,0,62.890,,,,,,,,,62.89,79.56
30,43,Universitas Negeri Yogyakarta,Universitas Negeri Yogyakarta,65.564,0,0,65.564,62.952,0,0,62.952,,,,,,,,,62.952,79.22
31,39,Kanazawa Institute of Technology,金沢工業大学,69.631,0,0,69.631,63.667,0,0,63.667,,,,,,,,,63.667,75.45
32,E14,Toyohashi University of Technology EV,豊橋技術科学大学EV,66.611,0,0,66.611,64.428,0,0,64.428,,,,,,,,,64.428,71.53
33,45,Universitas Gadjah Mada,Universitas Gadjah Mada,62.865,1,0,64.865,,,,DNF,,,,,,,,,64.865,69.31
