Place,Car No.,Team,Team.1,Adjusted Cost: $(Include Penalty),CostPoint,AccuracyPoint,Real CasePoint,Score
1,15,日本工業大学,Nippon Institute of Technology,16618,28.51,36.56,16.0,81.07
2,12,大阪大学,Osaka University,16861,27.86,32.69,19.0,79.55
3,42,金沢大学,Kanazawa University,13538,38.8,24.09,14.0,76.89
4,14,東京都市大学,Tokyo City University,14897,33.74,25.81,17.0,76.55
5,7,名城大学,Meijo University,16179,29.74,28.82,16.0,74.56
6,1,京都工芸繊維大学,Kyoto Institute of Technology,23756,14.93,40.0,18.0,72.93
7,77,同志社大学,Doshisha University,15501,31.77,24.95,14.0,70.72
8,26,東京農工大学,Tokyo University of Agriculture andTechnology,13252,40.0,12.47,15.0,67.47
9,3,名古屋工業大学,Nagoya Institute of Technology,21617,18.06,30.58,15.0,63.64
10,50,新潟大学,Niigata University,16176,29.75,17.63,15.0,62.38
11,5,横浜国立大学,Yokohama National University,21021,19.05,23.23,17.0,59.28
12,2,芝浦工業大学,Shibaura Institute of Technology,20858,19.32,21.51,18.0,58.83
13,32,神戸大学,Kobe University,21001,19.08,19.38,16.0,54.46
14,18,茨城大学,Ibaraki University,20794,19.43,19.35,15.0,53.78
15,13,福井大学,University of Fukui,20025,20.82,15.48,16.0,52.3
16,8,東京理科大学,Tokyo University of Science,22792,16.27,18.49,16.0,50.76
17,31,山陽小野田市立山口東京理科大学,Sanyo-onoda City University,14609,34.73,0.0,16.0,50.73
18,10,千葉大学,Chiba University,19715,21.41,14.19,15.0,50.6
19,E1,名古屋大学EV,Nagoya University EV,37685,3.24,36.13,11.0,50.37
20,53,Institut Teknologi Sepuluh Nopember,Institut Teknologi Sepuluh Nopember,13787,37.8,0.0,5.0,42.8
21,51,愛知工業大学,Aichi Institute Of Technology,15943,30.43,0.0,12.0,42.43
22,4,日本自動車大学校,Nihon Automobile College,19101,22.64,1.06,18.0,41.7
23,19,立命館大学,Ritsumeikan University,26277,11.9,11.61,17.0,40.51
24,37,大阪産業大学,Osaka Sangyo University,20715,19.57,8.6,10.0,38.17
25,16,岡山大学,Okayama Unversity,20001,20.87,0.0,15.0,35.87
26,E14,豊橋技術科学大学EV,Toyohashi University of Technology EV,33954,5.43,10.32,18.0,33.75
27,56,東京大学,The University of Tokyo,16073,30.05,0.0,3.0,33.05
28,24,National Tsing Hua University,National Tsing Hua University EV,25104,13.23,0.0,18.0,31.23
29,47,北海道大学,Hokkaido University,19446,21.94,0.0,9.0,30.94
30,11,静岡大学,Shizuoka University,24863,13.52,0.0,17.0,30.52
31,43,Universitas Negeri Yogyakarta,Universitas Negeri Yogyakarta,20139,20.61,0.0,9.0,29.61
32,29,九州工業大学,Kyushu Institute of Technology,20363,20.2,0.0,8.0,28.2
33,30,山梨大学,University of Yamanashi,21177,18.78,0.0,9.0,27.78
34,39,金沢工業大学,Kanazawa Institute of Technology,22920,16.08,0.0,11.0,27.08
35,62,日本大学理工学部,Nihon University College of science andtechnology,26817,11.32,0.0,15.0,26.32
36,71,広島工業大学,Hiroshima Institute of Technology,23221,15.66,0.0,10.0,25.66
37,65,九州大学,Kyushu University,21327,18.53,0.0,7.0,25.53
38,60,帝京大学,Teikyo University,27652,10.47,0.0,15.0,25.47
39,28,上智大学,Sophia University,28765,9.42,0.0,16.0,25.42
40,E6,一関工業高等専門学校/岩手大学EV,"National Institute of Technology, IchinoskeiCollege / Iwate University EV",35502,4.47,0.0,20.0,24.47
41,80,群馬大学,Gunma University,24405,14.09,0.0,10.0,24.09
42,45,Universitas Gadjah Mada,Universitas Gadjah Mada,27177,10.95,0.0,13.0,23.95
43,6,Tongji University,Tongji University,32377,6.51,5.16,12.0,23.67
44,52,北九州市立大学,The University of Kitakyushu,25760,12.47,0.0,11.0,23.47
45,44,Prince of Songkla University,Prince of Songkla University,22041,17.39,0.0,6.0,23.39
46,E3,東北大学EV,Tohoku University EV,29986,8.36,0.00,15.00,23.36
47,55,明星大学,Meisei University,25041,13.31,0.0,10.0,23.31
48,38,日本大学 生産工学部,"College of Industrial Technology, NihonUniversity",25730,12.5,0.0,10.0,22.5
49,21,早稲田大学,Waseda University,26482,11.68,0.0,10.0,21.68
50,58,埼玉大学,Saitama University,32246,6.6,0.0,15.0,21.6
51,E15,National Tsing Hua University EV,National Tsing Hua University EV,35534,4.45,0.0,15.0,19.45
52,9,京都大学,Kyoto University,35568,4.43,0.0,15.0,19.43
53,36,久留米工業大学,Kurume Institute of Technolory,31558,7.11,0.0,11.0,18.11
54,E4,Tongji University EV,Tongji University EV,40053,2.06,0.0,16.0,18.06
55,22,静岡理工科大学,Shizuoka Insutitute Science and Technology,27254,10.87,0.0,7.0,17.87
56,34,King Mongkut's University of TechnologyThonburi,King Mongkut's University of TechnologyThonburi,41005,1.63,0.0,16.0,17.63
57,69,大阪府立大学,Osaka Prefecture University,31218,7.37,0.0,10.0,17.37
58,68,Sebelas Maret University,Sebelas Maret University,26952,11.18,0.0,6.0,17.18
59,67,静岡工科自動車大学校,Shizuoka Professional College Of AutomobileTechnology,36047,4.15,0.0,13.0,17.15
60,35,岐阜大学,GifuUniversity,43110,0.73,0.0,16.0,16.73
61,E16,Guangdong University of Technology EV,Guangdong University of Technology EV,43479,0.58,0.0,16.0,16.58
62,25,ホンダテクニカルカレッジ関東,Honda Technical College Kanto,27655,10.47,0.0,6.0,16.47
63,49,鳥取大学,Tottori university,36063,4.14,0.0,11.0,15.14
64,23,東海大学,Tokai University,45000,0.0,0.0,15.0,15.0
65,E7,神奈川大学EV,Kanagawa University EV,31874,6.88,0.0,7.0,13.88
66,17,KASETSART UNIVERSITY,KASETSART UNIVERSITY,39838,2.16,0.0,11.0,13.16
67,76,U.A.S. Graz,U.A.S. Graz,41613,1.36,0.0,11.0,12.36
68,20,大阪工業大学,Osaka Institute of Technology,45000,0.0,0.0,12.0,12.0
69,82,Kumoh National Institute of Technology /Kongju National University,Kumoh National Institute of Technology /Kongju National University,32332,6.54,0.0,5.0,11.54
70,61,近畿大学,Kindai University,41625,1.35,0.0,10.0,11.35
71,57,トヨタ名古屋自動車大学校,TOYOTATECHNICALCOLLEGE,36015,4.17,0.0,7.0,11.17
72,E10,静岡理工科大学EV,Shizuoka Insutitute Science and TechnologyEV,39751,2.2,0.0,8.0,10.2
73,66,富山大学,University of Toyama,43855,0.44,0.0,9.0,9.44
74,41,ものつくり大学,Institute of Technologists,43931,0.41,0.0,9.0,9.41
75,74,Universitas Indonesia,Universitas Indonesia,30964,7.57,0.0,1.0,8.57
76,73,Technology/XIAMEN University of,Technology/XIAMEN University of,34115,5.33,0.0,3.0,8.33
77,86,Universiti Putra Malaysia,Universiti Putra Malaysia,30611,7.85,0.0,0.0,7.85
78,E8,トヨタ名古屋自動車大学校EV,TOYOTA TECHNICAL COLLEGE NAGOYAEV,45000,0.0,0.0,7.0,7.0
79,E22,Central South University EV,Central South University EV,43624,0.53,0.0,6.0,6.53
80,48,岡山理科大学,Okayama University of Science,45000,0.0,0.0,5.0,5.0
81,E19,INSTITUT TEKNOLOGI SEPULUHNOPEMBER EV,INSTITUT TEKNOLOGI SEPULUHNOPEMBER EV,44160,0.32,0.0,3.0,3.32
82,72,東京工科自動車大学校世田谷校,Tokyo Technical College Setagaya Campus,45000,0.0,0.0,0.0,0.0
82,E23,UNIVERSITAS ISLAM INDONESIA EV,UNIVERSITAS ISLAM INDONESIA EV,45000,0.0,0.0,0.0,0.0
