Place,Car No.,Team,Team.1,Point,Score
1,76,U.A.S. Graz,U.A.S. Graz,150,150
2,E1,名古屋大学EV,Nagoya University EV,140,140
3,E4,Tongji University EV,Tongji University EV,135,135
4,9,京都大学,Kyoto University,125.0,125
5,3,名古屋工業大学,Nagoya Institute of Technology,123.0,123
5,12,大阪大学,Osaka University,123.0,123
5,23,東海大学,Tokai University,123.0,123
8,7,名城大学,Meijo University,121.0,121
9,6,Tongji University,Tongji University,114.0,114
9,18,茨城大学,Ibaraki University,114.0,114
11,5,横浜国立大学,Yokohama National University,109.0,109
12,1,京都工芸繊維大学,Kyoto Institute of Technology,108.0,108
13,8,東京理科大学,Tokyo University of Science,103.0,103
13,32,神戸大学,Kobe University,103.0,103
15,28,上智大学,Sophia University,100.0,100
16,10,千葉大学,Chiba University,92.0,92
17,24,National Tsing Hua University,National Tsing Hua University EV,91.0,91
18,11,静岡大学,Shizuoka University,90.0,90
18,21,早稲田大学,Waseda University,90.0,90
18,34,King Mongkut's University of Technology Thonburi,King Mongkut's University of Technology Thonburi,90.0,90
21,17,KASETSART UNIVERSITY,KASETSART UNIVERSITY,89.0,89
21,19,立命館大学,Ritsumeikan University,89.0,89
23,79,工学院大学,Kogakuin University,87.0,87
24,2,芝浦工業大学,Shibaura Institute of Technology,85.0,85
25,E14,豊橋技術科学大学EV,Toyohashi University of Technology EV,84.0,84
26,51,愛知工業大学,Aichi Institute Of Technology,83.0,83
26,E16,Guangdong University of Technology EV,Guangdong University of Technology EV,83.0,83
28,15,日本工業大学,Nippon Institute of Technology,80.0,80
29,13,福井大学,University of Fukui,77.0,77
30,E15,National Tsing Hua University EV,National Tsing Hua University EV,73.0,73
31,29,九州工業大学,Kyushu Institute of Technology,72.0,72
32,4,日本自動車大学校,Nihon Automobile College,71.0,71
32,30,山梨大学,University of Yamanashi,71.0,71
34,45,Universitas Gadjah Mada,Universitas Gadjah Mada,70.0,70
35,16,岡山大学,Okayama Unversity,67.0,67
35,39,金沢工業大学,Kanazawa Institute of Technology,67.0,67
35,49,鳥取大学,Tottori university,67.0,67
38,37,大阪産業大学,Osaka Sangyo University,66.0,66
38,57,トヨタ名古屋自動車大学校,TOYOTATECHNICALCOLLEGE,66.0,66
40,44,Prince of Songkla University,Prince of Songkla University,65.0,65
41,58,埼玉大学,Saitama University,62.0,62
41,77,同志社大学,Doshisha University,62.0,62
43,43,Universitas Negeri Yogyakarta,Universitas Negeri Yogyakarta,60.0,60
43,50,新潟大学,Niigata University,60.0,60
43,53,Institut Teknologi Sepuluh Nopember,Institut Teknologi Sepuluh Nopember,60.0,60
43,67,静岡工科自動車大学校,Shizuoka Professional College Of Automobile Technology,60.0,60
47,26,東京農工大学,Tokyo University of Agriculture and Technology,59.0,59
48,46,宇都宮大学,Utsunomiya University,58.0,58
48,E8,トヨタ名古屋自動車大学校EV,TOYOTA TECHNICAL COLLEGE NAGOYA EV,58.0,58
50,22,静岡理工科大学,Shizuoka Insutitute Science and Technology,56.0,56
51,31,山陽小野田市立山口東京理科大学,Sanyo-onoda City University,55,55
51,E6,一関工業高等専門学校/岩手大学EV,"National Institute of Technology, Ichinoskei College / Iwate University EV",55,55
53,47,北海道大学,Hokkaido University,54,54
53,E22,Central South University EV,Central South University EV,54,54
55,14,東京都市大学,Tokyo City University,53,53
56,25,ホンダテクニカルカレッジ関東,Honda Technical College Kanto,52,52
56,42,金沢大学,Kanazawa University,52,52
56,85,Yeungnam University,Yeungnam University,52,52
59,60,帝京大学,Teikyo University,48,48
60,36,久留米工業大学,Kurume Institute of Technolory,47,47
60,48,岡山理科大学,Okayama University of Science,47,47
60,59,崇城大学,soujyoudaigaku,47,47
63,E3,東北大学EV,Tohoku University EV,46,46
64,54,千葉工業大学,Chiba Institute of Technology,43,43
65,35,岐阜大学,GifuUniversity,42,42
65,52,北九州市立大学,The University of Kitakyushu,42,42
67,41,ものつくり大学,Institute of Technologists,40,40
67,62,日本大学理工学部,Nihon University College of science and technology,40,40
69,38,日本大学 生産工学部,"College of Industrial Technology, Nihon University",39,39
70,65,九州大学,Kyushu University,37,37
71,56,東京大学,The University of Tokyo,36,36
71,80,群馬大学,Gunma University,36,36
73,66,富山大学,University of Toyama,34,34
74,63,摂南大学,setsunanuniversity,33,33
74,71,広島工業大学,Hiroshima Institute of Technology,33,33
74,86,Universiti Putra Malaysia,Universiti Putra Malaysia,33,33
74,E7,神奈川大学EV,Kanagawa University EV,33,33
78,68,Sebelas Maret University,Sebelas Maret University,30,30
78,73,Southern Taiwan University of Science Technology/XIAMEN University of Technology,Southern Taiwan University of Science Technology/XIAMEN University of Technology,30,30
80,E10,静岡理工科大学EV,Shizuoka Insutitute Science and Technology EV,27,27
81,74,Universitas Indonesia,Universitas Indonesia,24,24
82,72,東京工科自動車大学校世田谷校,Tokyo Technical College Setagaya Campus,21,21
83,61,近畿大学,Kindai University,20,20
83,E23,UNIVERSITAS ISLAM INDONESIA EV,UNIVERSITAS ISLAM INDONESIA EV,20,20
85,82,Kumoh National Institute of Technology / Kongju National University,Kumoh National Institute of Technology / Kongju National University,18,18
85,E13,専門学校トヨタ東京自動車大学校 EV,Toyota Technical College Tokyo EV,18,18
87,69,大阪府立大学,Osaka Prefecture University,11,11
88,55,明星大学,Meisei University,9,9
89,20,大阪工業大学,Osaka Institute of Technology,5,5
