Place,Car No.,Team,Team.1,Run #1 Time,Run #1 # of Cones,Run #1 Off Course/Missed Slalom,Run #1 Adj.,Run #2 Time,Run #2 # of Cones,Run #2 Off Course/Missed Slalom,Run #2 Adj.,Run #3 Time,Run #3 # of Cones,Run #3 Off Course/Missed Slalom,Run #3 Adj.,Run #4 Time,Run #4 # of Cones,Run #4 Off Course/Missed Slalom,Run #4 Adj.,Viocount,Best Time,Event Score
1,7,Nagoya Institute of Technology,名古屋工業大学,56.932,0,0,56.932,55.905,0,0,55.905,56.779,1,0,58.779,55.465,1,0,57.465,0,55.905,125.0
2,10,Yokohama National University,横浜国立大学,57.294,0,0,57.294,55.993,0,0,55.993,,,,DNF,,,,DNF,0,55.993,124.39
3,2,Kyoto Institute of Technology,京都工芸繊維大学,56.702,0,0,56.702,56.302,1,0,58.302,,,,DNF,,,,DNF,0,56.702,119.63
4,5,Shibaura Institute of Technology,芝浦工業大学,62.218,0,0,62.218,59.254,1,0,61.254,59.350,0,0,59.350,57.564,0,0,57.564,0,57.564,113.99
5,26,Kyoto University,京都大学,59.044,0,0,59.044,57.710,0,0,57.710,60.257,0,0,60.257,59.535,0,0,59.535,0,57.710,113.05
6,21,Shizuoka Institute of Science and Technology,静岡理工科大学,59.450,0,0,59.450,58.286,0,0,58.286,65.070,0,0,65.070,81.629,1,0,83.629,0,58.286,109.4
7,15,Tokyo City Univercity,東京都市大学,63.628,0,0,63.628,62.272,4,0,70.272,58.572,0,0,58.572,58.105,1,0,60.105,0,58.572,107.61
8,4,Meijo University,名城大学,60.454,1,1,82.454,58.796,0,0,58.796,,,,DNF,,,,DNF,0,58.796,106.22
9,28,Sophia University,上智大学,59.889,0,0,59.889,58.891,0,0,58.891,,,,DNF,,,,DNF,0,58.891,105.63
10,8,Kobe University,神戸大学,65.725,0,0,65.725,63.310,0,0,63.310,60.545,1,0,62.545,58.943,0,0,58.943,0,58.943,105.31
11,6,Tokai university,東海大学,59.072,0,0,59.072,57.970,1,0,59.970,59.133,0,0,59.133,57.838,1,0,59.838,0,59.072,104.52
12,13,Ibaraki University,茨城大学,66.050,0,0,66.050,,,,DNF,62.530,0,0,62.530,59.165,0,0,59.165,0,59.165,103.96
13,1,Osaka university,大阪大学,59.939,0,1,79.939,59.248,0,0,59.248,56.731,2,0,60.731,56.155,2,0,60.155,0,59.248,103.45
14,3,Tongji University,Tongji University,62.966,0,0,62.966,61.197,0,0,61.197,62.152,1,0,64.152,59.499,0,0,59.499,0,59.499,101.93
15,32,Chiba University,千葉大学,72.963,2,0,76.963,59.723,0,0,59.723,60.487,1,0,62.487,71.018,3,1,97.018,0,59.723,100.58
16,49,Ritsumeikan University,立命館大学,60.101,0,0,60.101,58.448,1,0,60.448,67.499,0,0,67.499,,,,DNF,0,60.101,98.34
17,E01,Nagoya UniversityEV,名古屋大学EV,60.260,0,0,60.260,67.225,1,0,69.225,74.276,0,0,74.276,63.242,0,0,63.242,0,60.260,97.4
18,19,Sanyo-onoda City University,山陽小野田市立山口東京理科大学,65.484,0,0,65.484,62.475,1,0,64.475,60.956,0,0,60.956,60.388,0,0,60.388,0,60.388,96.65
19,E03,Toyohashi University of TechnologyEV,豊橋技術科学大学EV,62.327,1,0,64.327,61.532,0,0,61.532,65.269,2,1,89.269,60.415,0,0,60.415,0,60.415,96.49
20,80,Hoseo University,Hoseo University,64.071,0,0,64.071,60.463,0,0,60.463,,,,DNF,,,,DNF,0,60.463,96.21
21,20,Waseda University,早稲田大学,62.141,0,0,62.141,60.588,0,0,60.588,66.988,0,0,66.988,63.681,0,0,63.681,0,60.588,95.48
22,34,Saitama University,埼玉大学,65.453,2,0,69.453,60.923,0,0,60.923,64.409,0,0,64.409,62.527,0,0,62.527,0,60.923,93.54
23,E02,Tongji UniversityEV,Tongji UniversityEV,62.081,0,0,62.081,61.048,0,0,61.048,,,,DNF,,,,DNF,0,61.048,92.83
24,23,Nihon Automobile College,日本自動車大学校,58.576,2,0,62.576,57.753,2,0,61.753,60.343,1,0,62.343,59.129,1,0,61.129,0,61.129,92.36
25,38,Osaka Sangyo University,大阪産業大学,67.473,1,0,69.473,87.133,0,1,107.133,62.653,2,0,66.653,61.215,0,0,61.215,0,61.215,91.87
26,31,Kyushu Institute of Technology,九州工業大学,65.286,1,0,67.286,61.251,0,0,61.251,,,,DNF,,,,DNF,0,61.251,91.67
27,40,Kanazawa Institute of Technology,金沢工業大学,70.076,0,0,70.076,81.586,1,0,83.586,65.084,0,0,65.084,61.423,0,0,61.423,0,61.423,90.69
28,17,Kasetsart University,Kasetsart University,62.245,0,0,62.245,61.320,1,0,63.320,63.574,0,0,63.574,61.606,0,0,61.606,0,61.606,89.66
29,E20,JiLin UniversityEV,JiLin UniversityEV,73.522,0,0,73.522,65.896,4,1,93.896,65.035,0,0,65.035,61.736,0,0,61.736,0,61.736,88.93
30,75,Harbin Institute of Technology at Weihai,Harbin Institute of Technology at Weihai,63.786,0,0,63.786,61.760,0,0,61.760,,,,DNF,,,,DNF,0,61.760,88.8
31,9,Tokyo University of Science,東京理科大学,65.778,0,0,65.778,62.262,0,0,62.262,64.536,0,0,64.536,61.896,0,0,61.896,0,61.896,88.04
32,45,Kanazawa University,金沢大学,62.597,0,0,62.597,,,,DNF,72.230,0,0,72.230,62.015,0,0,62.015,0,62.015,87.38
33,14,Tokyo University of Agriculture and Technology,東京農工大学,78.415,3,0,84.415,73.519,4,0,81.519,61.460,1,0,63.460,60.034,1,0,62.034,0,62.034,87.27
