Place,CarNo.,Team,Team.1,Time,Laps,# of Cones,Off Course/MissedSlalom,Other TimePenalty,OtherPointPenalty,Adj. Time,EnduranceScore
1,7,Nagoya Institute of Technology,名古屋工業大学,1239.717,20,3,0,0.0,0.0,1245.710,275.0
2,10,Yokohama National University,横浜国立大学,1298.427,20,5,0,0.0,0.0,1308.420,236.39
3,49,Ritsumeikan University,立命館大学,1326.860,20,7,0,0.0,0.0,1340.860,217.83
4,6,Tokai university,東海大学,1340.124,20,4,0,0.0,0.0,1348.120,213.8
5,13,Ibaraki University,茨城大学,1338.712,20,7,0,0.0,0.0,1352.710,211.28
6,3,Tongji University,Tongji University,1347.110,20,5,0,0.0,0.0,1357.110,208.87
7,23,Nihon Automobile College,日本自動車大学校,1315.219,20,3,1,30.0,0.0,1371.210,201.27
8,8,Kobe University,神戸大学,1371.384,20,3,0,0.0,0.0,1377.380,197.99
9,28,Sophia University,上智大学,1383.797,20,5,0,0.0,0.0,1393.790,189.41
10,E01,Nagoya UniversityEV,名古屋大学EV,1390.235,20,6,0,0.0,0.0,1402.230,185.08
11,21,Shizuoka Institute of Science and Technology,静岡理工科大学,1400.510,20,4,0,0.0,0.0,1408.510,181.89
12,34,Saitama University,埼玉大学,1372.702,20,28,0,0.0,0.0,1462.700,155.49
13,20,Waseda University,早稲田大学,1416.423,20,11,0,0.0,0.0,1476.420,149.12
14,66,Kogakuin University,工学院大学,1439.536,20,3,0,0.0,20.0,1445.530,143.64
15,24,Aichi Institute of Technology,愛知工業大学,1478.637,20,6,0,0.0,0.0,1490.630,142.64
16,27,Prince of Songkla University,Prince of Songkla University,1498.396,20,1,1,0.0,0.0,1520.390,129.46
17,54,Shizuoka Professional College Of AutomobileTechnology,静岡工科自動車大学校,1500.896,20,0,0,0.0,20.0,1500.890,118.04
18,E04,National Tsing Hua UniversityEV,National Tsing Hua UniversityEV,1550.898,20,2,0,0.0,0.0,1554.890,114.82
19,12,Shizuoka University,静岡大学,1564.041,20,3,0,0.0,0.0,1570.040,108.59
20,11,University of Fukui,福井大学,1586.684,20,0,0,0.0,0.0,1586.680,101.88
21,38,Osaka Sangyo University,大阪産業大学,1586.567,20,2,1,0.0,0.0,1610.560,92.51
22,46,Tottori University,鳥取大学,1576.882,20,5,2,0.0,0.0,1626.880,86.26
23,22,Universitas Gadjah Mada,Universitas Gadjah Mada,1627.963,20,1,0,0.0,0.0,1629.960,85.09
24,29,University of Yamanashi,山梨大学,1639.015,20,0,0,0.0,0.0,1639.010,81.69
25,17,Kasetsart University,Kasetsart University,1570.692,20,0,1,0.0,20.0,1590.690,80.29
