Place,Car No.,Team,D1 Run 1 Time,D1 Run 1 # of Cones,D1 Run 1 Adj.,D1 Run 2 Time,D1 Run 2 # of Cones,D1 Run 2 Adj.,D2 Run 1 Time,D2 Run 1 # of Cones,D2 Run 1 Adj.,D2 Run 2 Time,D2 Run 2 # of Cones,D2 Run 2 Adj.,Viocount,Best Time,Event Score
1,5,千葉大学,5.534,,5.534,6.303,,6.303,4.236,,4.236,4.322,,4.322,0,4.236,100.0
2,6,京都工芸繊維大学,4.875,,4.875,5.243,,5.243,4.351,,4.351,4.475,,4.475,0,4.351,92.42
3,13,日本自動車大学校,5.102,,5.102,4.560,,4.560,4.524,,4.524,4.511,,4.511,0,4.511,82.53
4,E06,静岡理工科大学EV,4.894,,4.894,4.607,,4.607,4.872,,4.872,4.676,,4.676,0,4.607,76.92
5,16,九州工業大学,7.126,,7.126,5.240,,5.240,4.675,,4.675,4.798,,4.798,0,4.675,73.09
6,10,名城大学,4.850,,4.850,4.731,,4.731,,,DNF,,,DNF,0,4.731,70.02
7,26,工学院大学,5.922,,5.922,5.824,,5.824,4.786,,4.786,5.624,,5.624,0,4.786,67.07
8,12,山梨大学,4.810,,4.810,15.595,,15.595,5.007,,5.007,,,DNF,0,4.81,65.81
9,3,京都大学,5.072,,5.072,5.226,,5.226,4.819,,4.819,5.198,,5.198,0,4.819,65.33
10,28,日本工業大学,5.531,,5.531,5.219,,5.219,4.887,,4.887,5.915,,5.915,0,4.887,61.83
11,9,東京大学,4.891,,4.891,5.131,,5.131,,,DNF,,,DNF,0,4.891,61.63
12,23,山陽小野田市立山口東京理科大学,5.506,,5.506,4.897,,4.897,5.075,,5.075,5.126,,5.126,0,4.897,61.32
13,30,富山大学,5.691,,5.691,6.450,,6.450,5.006,,5.006,5.149,,5.149,0,5.006,55.93
14,32,久留米工業大学,5.857,,5.857,5.243,,5.243,6.414,,6.414,6.404,,6.404,0,5.243,44.97
15,14,茨城大学,,,DNF,,,DNF,5.344,,5.344,5.252,,5.252,0,5.252,44.57
16,7,岐阜大学,,,DNF,,,DNF,5.745,,5.745,5.374,,5.374,0,5.374,39.33
17,29,トヨタ名古屋自動車大学校,5.472,,5.472,5.412,,5.412,5.491,,5.491,5.514,,5.514,0,5.412,37.74
18,38,早稲田大学,5.932,,5.932,5.499,,5.499,,,DNF,,,DNF,0,5.499,34.19
19,25,帝京大学,5.632,,5.632,9.073,,9.073,6.083,,6.083,5.786,,5.786,0,5.632,28.98
20,8,新潟大学,5.976,,5.976,5.673,,5.673,5.908,,5.908,5.795,,5.795,0,5.673,27.42
21,1,神戸大学,6.026,,6.026,5.693,,5.693,,,DNF,,,DNF,0,5.693,26.67
22,48,ホンダテクニカルカレッジ関東,6.513,,6.513,5.723,,5.723,5.711,,5.711,5.892,,5.892,0,5.711,26.0
23,E08,トヨタ東京自動車大学校EV,5.775,,5.775,,,DNF,,,DNF,,,DNF,0,5.775,23.64
24,15,同志社大学,5.835,,5.835,5.790,,5.790,6.110,,6.110,5.796,,5.796,0,5.79,23.1
25,33,大阪工業大学,6.097,,6.097,5.907,,5.907,5.868,,5.868,5.800,,5.800,0,5.8,22.74
26,4,名古屋工業大学,11.169,,11.169,7.460,,7.460,,,DNF,,,DNF,0,7.46,4.5
26,17,埼玉大学,7.285,,7.285,6.722,,6.722,,,DNF,,,DNF,0,6.722,4.5
26,19,ホンダテクニカルカレッジ関西,7.822,,7.822,7.983,,7.983,9.284,,9.284,10.186,,10.186,0,7.822,4.5
26,46,日本大学生産工学部,7.876,,7.876,8.036,,8.036,9.305,,9.305,8.925,,8.925,0,7.876,4.5
26,51,東京都立大学,7.338,,7.338,6.373,,6.373,,,DNF,,,DNF,0,6.373,4.5
,2,大阪大学,,,,,,,,,,,,,0,,
,11,東京農工大学,,,,,,,,,,,,,0,,
,18,福井大学,,,,,,,,,,,,,0,,
,20,群馬大学,,,,,,,,,,,,,0,,
,21,北海道大学,,,,,,,,,,,,,0,,
,24,日本大学理工学部,,,,,,,,,,,,,0,,
,27,東京都市大学,,,,,,,,,,,,,0,,
,31,立命館大学,,,,,,,,,,,,,0,,
,34,広島工業大学,,,,,,,,,,,,,0,,
,35,明星大学,,,,,,,,,,,,,0,,
,36,九州大学,,,,,,,,,,,,,0,,
,39,東京理科大学,,,,,,,,,,,,,0,,
,41,福井工業大学,,,,,,,,,,,,,0,,
,42,鳥取大学,,,,,,,,,,,,,0,,
,43,金沢工業大学,,,,,,,,,,,,,0,,
,47,近畿大学,,,,,,,,,,,,,0,,
,49,岡山大学,,,,,,,,,,,,,0,,
,50,芝浦工業大学,,,,,,,,,,,,,0,,
,52,北九州市立大学,,,,,,,,,,,,,0,,
,53,東海大学,,,,,,,,,,,,,0,,
,54,国士舘大学,,,,,,,,,,,,,0,,
,55,西日本工業大学,,,,,,,,,,,,,0,,
,E01,名古屋大学EV,,,,,,,,,,,,,0,,
,E02,豊橋技術科学大学EV,,,,,,,,,,,,,0,,
,E03,東北大学EV,,,,,,,,,,,,,0,,
,E04,静岡大学EV,,,,,,,,,,,,,0,,
,E05,神奈川大学EV,,,,,,,,,,,,,0,,
,E07,ものつくり大学EV,,,,,,,,,,,,,0,,
,E09,神奈川工科大学EV,,,,,,,,,,,,,0,,
,E10,愛知工業大学EV,,,,,,,,,,,,,0,,
,E11,日産京都自動車大学校EV,,,,,,,,,,,,,0,,
,E12,上智大学/青山学院大学EV,,,,,,,,,,,,,0,,
,E13,東京工科大学EV,,,,,,,,,,,,,0,,
