Place,Car No.,Team,Run #1 Time,Run #1 # of Cones,Run #1 Off Course/Missed Slalom,Run #1 Adj.,Run #2 Time,Run #2 # of Cones,Run #2 Off Course/Missed Slalom,Run #2 Adj.,Run #3 Time,Run #3 # of Cones,Run #3 Off Course/Missed Slalom,Run #3 Adj.,Run #4 Time,Run #4 # of Cones,Run #4 Off Course/Missed Slalom,Run #4 Adj.,Viocount,Best Time,Event Score
1,6,京都工芸繊維大学,71.042,0,0,71.042,66.231,0,0,66.231,57.474,0,0,57.474,57.296,0,0,57.296,0,57.296,125.0
2,10,名城大学,61.167,0,0,61.167,58.974,0,0,58.974,,,,DNF,,,,DNF,0,58.974,114.13
3,7,岐阜大学,62.010,1,0,64.010,60.018,0,0,60.018,65.220,2,0,69.220,63.835,0,0,63.835,0,60.018,107.68
4,30,富山大学,60.839,1,0,62.839,60.114,0,0,60.114,63.688,0,0,63.688,63.281,0,0,63.281,0,60.114,107.1
5,13,日本自動車大学校,68.105,0,0,68.105,64.019,0,0,64.019,62.407,1,0,64.407,60.459,0,0,60.459,0,60.459,105.02
6,38,早稲田大学,63.908,0,0,63.908,60.729,0,0,60.729,76.938,2,1,100.938,65.980,1,0,67.980,0,60.729,103.41
7,5,千葉大学,61.784,0,0,61.784,59.788,1,0,61.788,,,,DNF,,,,DNF,0,61.784,97.26
8,23,山陽小野田市立山口東京理科大学,97.043,0,1,117.043,72.325,0,0,72.325,64.136,0,0,64.136,61.999,0,0,61.999,0,61.999,96.03
9,3,京都大学,62.133,0,0,62.133,61.375,1,0,63.375,67.245,0,0,67.245,65.627,0,0,65.627,0,62.133,95.27
10,12,山梨大学,75.438,1,0,77.438,73.796,0,0,73.796,62.937,1,0,64.937,62.322,0,0,62.322,0,62.322,94.2
11,26,工学院大学,64.434,1,0,66.434,61.282,1,0,63.282,62.464,0,0,62.464,61.733,3,0,67.733,0,62.464,93.4
12,14,茨城大学,71.882,0,0,71.882,69.925,0,0,69.925,66.535,0,0,66.535,62.537,0,0,62.537,0,62.537,92.99
13,28,日本工業大学,,,,DNF,69.772,0,0,69.772,83.079,0,0,83.079,63.243,0,0,63.243,0,63.243,89.09
14,21,北海道大学,64.104,0,0,64.104,63.309,0,0,63.309,69.571,0,0,69.571,66.295,0,0,66.295,0,63.309,88.73
15,33,大阪工業大学,71.705,1,0,73.705,64.812,0,0,64.812,64.843,1,0,66.843,66.240,0,0,66.240,0,64.812,80.72
16,11,東京農工大学,68.537,0,0,68.537,68.235,0,0,68.235,67.299,1,0,69.299,65.087,0,0,65.087,0,65.087,79.29
17,17,埼玉大学,78.288,1,1,100.288,75.832,0,0,75.832,65.937,0,0,65.937,,,,DNF,0,65.937,74.96
18,4,名古屋工業大学,69.066,1,0,71.066,67.035,0,0,67.035,,,,DNF,,,,DNF,0,67.035,69.52
19,48,ホンダテクニカルカレッジ関東,74.500,0,0,74.500,75.769,0,0,75.769,67.242,0,0,67.242,76.648,0,0,76.648,0,67.242,68.52
20,16,九州工業大学,80.283,0,0,80.283,77.408,1,0,79.408,68.514,0,0,68.514,74.055,2,0,78.055,0,68.514,62.48
21,24,日本大学理工学部,76.611,0,0,76.611,69.167,0,0,69.167,,,,DNF,,,,DNF,0,69.167,59.46
22,51,東京都立大学,74.184,2,1,98.184,70.290,0,0,70.290,76.493,0,1,96.493,74.755,2,1,98.755,0,70.29,54.41
23,15,同志社大学,76.152,4,0,84.152,76.170,1,1,98.170,69.519,3,0,75.519,66.490,2,0,70.490,0,70.49,53.53
24,1,神戸大学,72.131,1,0,74.131,71.537,0,0,71.537,73.943,0,0,73.943,70.623,0,0,70.623,0,70.623,52.94
