Place,CarNo.,Team.1,D1 Run 1 Time R,D1 Run 1 Time L,D1 Run 1 # ofCones,D1 Run 1 Adj.,D1 Run 2 Time R,D1 Run 2 Time L,D1 Run 2 # ofCones,D1 Run 2 Adj.,D2 Run 1 Time R,D2 Run 1 Time L,D2 Run 1 # ofCones,D2 Run 1 Adj.,D2 Run 2 Time R,D2 Run 2 Time L,D2 Run 2 # ofCones,D2 Run 2 Adj.,Vio Count,Best Time,Event Score
1,6,京都工芸繊維大学,,,,DNF,5.648,5.557,0,5.602,5.118,4.900,1,5.134,5.118,4.878,0,4.998,0,4.998,75.00
2,10,名城大学,,,,DNF,5.222,4.984,0,5.103,,,,DNF,,,,DNF,0,5.103,66.91
3,5,千葉大学,5.149,5.308,1,5.353,5.108,5.257,0,5.182,,,,DNF,,,,DNF,0,5.182,61.11
4,26,工学院大学,,,,DNF,,,,DNF,,,,DNF,5.344,5.414,0,5.379,0,5.379,47.86
5,3,京都大学,5.773,5.870,0,5.821,5.790,5.939,0,5.864,5.788,5.702,1,5.870,5.343,5.451,0,5.397,0,5.397,46.71
6,7,岐阜大学,5.354,6.144,4,6.249,5.537,5.547,0,5.542,5.337,5.629,3,5.858,,,,DNF,0,5.542,37.92
7,28,日本工業大学,5.717,5.820,0,5.768,5.696,5.816,0,5.756,,,,DNF,5.393,5.383,2,5.638,0,5.638,32.46
8,48,ホンダテクニカルカレッジ関東,,,,DNF,,,,DNF,5.763,5.527,0,5.645,5.811,5.883,0,5.847,0,5.645,32.08
9,14,茨城大学,5.973,5.712,0,5.842,,,,DNF,5.656,5.397,1,5.651,,,,DNF,0,5.651,31.72
10,11,東京農工大学,,,,DNF,5.619,5.823,0,5.721,,,,DNF,,,,DNF,0,5.721,27.97
11,1,神戸大学,,,,DNF,5.708,5.743,0,5.725,,,,DNF,,,,DNF,0,5.725,27.73
12,13,日本自動車大学校,,,,DNF,,,,DNF,5.726,5.722,1,5.849,5.276,5.845,4,6.060,0,5.849,21.41
13,19,ホンダテクニカルカレッジ関西,6.942,6.440,1,6.816,7.002,6.246,1,6.749,5.988,5.769,0,5.878,,,,DNF,0,5.878,19.95
14,30,富山大学,5.842,5.916,3,6.254,5.734,6.084,0,5.909,,,,DNF,,,,DNF,0,5.909,18.48
15,38,早稲田大学,5.982,5.946,0,5.964,6.012,6.038,0,6.025,7.430,7.162,0,7.296,6.857,6.383,0,6.620,0,5.964,15.87
16,29,トヨタ名古屋自動車大学校,7.178,7.162,0,7.170,6.216,6.421,0,6.318,6.263,6.152,0,6.207,6.386,5.649,0,6.017,0,6.017,13.40
17,32,久留米工業大学,7.542,6.942,2,7.492,7.088,6.342,0,6.715,6.770,6.379,0,6.574,6.142,6.061,0,6.101,0,6.101,9.65
18,46,日本大学生産工学部,6.599,5.611,0,6.105,,,,DNF,8.251,7.244,2,7.997,,,,DNF,0,6.105,9.50
19,E08,トヨタ東京自動車大学校EV,,,,DNF,,,,DNF,6.722,6.402,0,6.562,6.397,5.832,0,6.114,0,6.114,9.08
20,25,帝京大学,,,,DNF,,,,DNF,,,,DNF,6.132,6.254,0,6.193,0,6.193,5.74
21,8,新潟大学,7.131,6.892,2,7.261,7.567,6.772,2,7.419,,,,DNF,5.855,6.333,2,6.344,0,6.344,3.50
21,9,東京大学,7.457,7.413,0,7.435,7.299,7.068,0,7.183,,,,DNF,7.190,5.750,0,6.470,0,6.470,3.50
21,12,山梨大学,5.966,6.696,0,6.331,5.928,6.677,3,6.677,,,,DNF,,,,DNF,0,6.331,3.50
21,15,同志社大学,6.652,6.111,0,6.381,6.525,6.246,0,6.385,7.318,6.565,12,8.441,,,,DNF,0,6.381,3.50
21,17,埼玉大学,9.082,8.084,0,8.583,,,,DNF,,,,DNF,,,,DNF,0,8.583,3.50
21,23,山陽小野田市立山口東京理科大学,,,,DNF,,,,DNF,,,,DNF,6.446,6.575,0,6.510,0,6.510,3.50
21,33,大阪工業大学,,,,DNF,,,,DNF,,,,DNF,6.913,6.132,0,6.522,0,6.522,3.50
21,51,東京都立大学,,,,DNF,,,,DNF,11.658," 9.222",0,10.440,,,,DNF,0,10.440,3.50
21,E06,静岡理工科大学EV,8.767,7.923,0,8.345,7.776,6.728,0,7.252,,,,DNF,,,,DNF,0,7.252,3.50
30,16,九州工業大学,,,,DNF,,,,DNF,,,,DNF,,,,DNF,0,DNF,0.00
,2,大阪大学,,,,,,,,,,,,,,,,,0,,
,4,名古屋工業大学,,,,,,,,,,,,,,,,,0,,
,18,福井大学,,,,,,,,,,,,,,,,,0,,
,20,群馬大学,,,,,,,,,,,,,,,,,0,,
,21,北海道大学,,,,,,,,,,,,,,,,,0,,
,24,日本大学理工学部,,,,,,,,,,,,,,,,,0,,
,27,東京都市大学,,,,,,,,,,,,,,,,,0,,
,31,立命館大学,,,,,,,,,,,,,,,,,0,,
,34,広島工業大学,,,,,,,,,,,,,,,,,0,,
,35,明星大学,,,,,,,,,,,,,,,,,0,,
,36,九州大学,,,,,,,,,,,,,,,,,0,,
,39,東京理科大学,,,,,,,,,,,,,,,,,0,,
,41,福井工業大学,,,,,,,,,,,,,,,,,0,,
,42,鳥取大学,,,,,,,,,,,,,,,,,0,,
,43,金沢工業大学,,,,,,,,,,,,,,,,,0,,
,47,近畿大学,,,,,,,,,,,,,,,,,0,,
,49,岡山大学,,,,,,,,,,,,,,,,,0,,
,50,芝浦工業大学,,,,,,,,,,,,,,,,,0,,
,52,北九州市立大学,,,,,,,,,,,,,,,,,0,,
,53,東海大学,,,,,,,,,,,,,,,,,0,,
,54,国士舘大学,,,,,,,,,,,,,,,,,0,,
,55,西日本工業大学,,,,,,,,,,,,,,,,,0,,
,E01,名古屋大学EV,,,,,,,,,,,,,,,,,0,,
,E02,豊橋技術科学大学EV,,,,,,,,,,,,,,,,,0,,
,E03,東北大学EV,,,,,,,,,,,,,,,,,0,,
,E04,静岡大学EV,,,,,,,,,,,,,,,,,0,,
,E05,神奈川大学EV,,,,,,,,,,,,,,,,,0,,
,E07,ものつくり大学EV,,,,,,,,,,,,,,,,,0,,
,E09,神奈川工科大学EV,,,,,,,,,,,,,,,,,0,,
,E10,愛知工業大学EV,,,,,,,,,,,,,,,,,0,,
,E11,日産京都自動車大学校EV,,,,,,,,,,,,,,,,,0,,
,E12,上智大学/青山学院大学EV,,,,,,,,,,,,,,,,,0,,
,E13,東京工科大学EV,,,,,,,,,,,,,,,,,0,,
