Place,CarNo.,Team,Team.1,Ave. Adj.Laptime,Laps,Fuel Used,Adj. CO2,kgCO2/100Km,Ave. Adj.CO2 /Lap,Fuel Eff.Factor,Fuel Eff.Score
1,E03,The University of TokyoEV,東京大学EV,87.641,20,2.13,1.38,7.43,0.069,0.724,100.00
2,E05,Nagoya Institute of TechnologyEV,名古屋工業大学EV,89.112,20,3.01,1.95,10.47,0.097,0.505,94.21
3,10,Honda Technical College Kanto,ホンダテクニカルカレッジ関東,70.712,20,1.82,4.2,22.50,0.210,0.296,80.73
4,E07,Shizuoka UniversityEV,静岡大学EV,90.129,12,3.09,2.01,17.93,0.167,0.291,80.21
5,5,Nippon Institute of Technology,日本工業大学,70.186,20,2.23,5.15,27.57,0.257,0.243,73.68
6,8,Meijo University,名城大学,70.031,20,2.43,5.61,30.04,0.280,0.224,70.21
7,1,Kyoto Institute of Technology,京都工芸繊維大学,63.500,20,2.99,6.9,36.97,0.345,0.201,65.22
8,20,Kobe University,神戸大学,70.845,20,2.76,6.37,34.13,0.318,0.195,63.79
9,17,Doshisha University,同志社大学,73.389,20,2.84,6.56,35.11,0.328,0.183,60.52
10,7,Kogakuin University,工学院大学,67.952,20,3.1,7.16,38.33,0.358,0.181,59.95
11,13,Sanyo-Onoda City University,山陽小野田市立山口東京理科大学,71.282,20,2.96,6.83,36.60,0.341,0.180,59.87
12,14,Gifu University,岐阜大学,67.860,20,3.14,7.25,38.82,0.362,0.179,59.34
13,3,Nihon Automobile College,日本自動車大学校,65.244,20,3.3,7.62,40.80,0.381,0.177,58.77
14,51,Prince of Songkhla University,Prince of Songkhla University,70.118,20,3.2,7.39,39.57,0.369,0.170,56.47
15,27,Hokkaido University,北海道大学,79.040,20,3.02,6.97,37.34,0.348,0.159,52.84
16,9,Ibaraki University,茨城大学,76.388,20,3.15,7.27,38.95,0.363,0.158,52.36
17,16,"College of Science and Technology, Nihon University",日本大学理工学部,87.374,10,1.38,3.18,34.13,0.318,0.158,52.22
18,32,Shibaura Institute of Technology,芝浦工業大学,72.061,20,3.37,7.78,41.67,0.389,0.157,51.79
19,4,Chiba University,千葉大学,68.754,20,3.66,8.45,45.26,0.422,0.151,49.56
20,23,Waseda University,早稲田大学,84.815,15,2.3,5.31,37.92,0.354,0.146,47.42
21,6,University of Toyama,富山大学,74.808,13,2.35,5.42,44.70,0.417,0.141,44.79
22,18,Kyushu Institute of Technology,九州工業大学,77.375,20,3.52,8.13,43.52,0.406,0.140,44.31
23,15,Teikyo University,帝京大学,78.845,20,3.54,8.17,43.77,0.408,0.136,42.60
24,2,Kyoto University,京都大学,78.631,20,3.66,8.45,45.26,0.422,0.132,40.40
25,26,Tokyo Metropolitan University,東京都立大学,78.911,20,3.82,8.82,47.23,0.441,0.126,36.94
26,33,Tokyo City University,東京都市大学,103.770,20,3.31,7.64,40.93,0.382,,0.00
26,40,Kanazawa Institute of Technology,金沢工業大学,84.631,20,5.19,11.98,64.18,0.599,,0.00
26,56,Universitas Sebelas Maret,Universitas Sebelas Maret,100.639,14,2.0,4.62,35.33,0.330,,0.00
,11,Saitama University,埼玉大学,,,,,,,,
,12,Tokyo University of Agriculture and Technology,東京農工大学,,,,,,,,
,19,Kurume Institute of Technology,久留米工業大学,,,,,,,,
,21,Niigata University,新潟大学,,,,,,,,
,22,Osaka University,大阪大学,,,,,,,,
,24,Toyota Technical College Nagoya,トヨタ名古屋自動車大学校,,,,,,,,
,25,OSAKA INSTITUTE OF TECHNOLOGY,大阪工業大学,,,,,,,,
,28,Honda Technical College Kansai,ホンダテクニカルカレッジ関西,,,,,,,,
,29,Tokyo Univercity of Science,東京理科大学,,,,,,,,
,30,"College of Industrial Technology, Nihon University",日本大学生産工学部,,,,,,,,
,34,Ritsumeikan university,立命館大学,,,,,,,,
,35,Fukui Univercity od Tecnology,福井工業大学,,,,,,,,
,36,Gunma University,群馬大学,,,,,,,,
,37,The University of Kitakyushu,北九州市立大学,,,,,,,,
,38,Kindai University,近畿大学,,,,,,,,
,39,Okayama University,岡山大学,,,,,,,,
,41,Tottori University,鳥取大学,,,,,,,,
,42,Nishinippon Institute of Technology,西日本工業大学,,,,,,,,
,43,Hiroshima Institute of Technology,広島工業大学,,,,,,,,
,44,Meisei University,明星大学,,,,,,,,
,47,Osaka Metropolitan University,大阪公立大学,,,,,,,,
,48,sojo university,崇城大学,,,,,,,,
,49,Tohoku Gakuin University,東北学院大学,,,,,,,,
,50,Kanazawa University,金沢大学,,,,,,,,
,52,Khulna University of Engineering & Technology,Khulna University of Engineering & Technology,,,,,,,,
,E01,Shizuoka Institute of Science and TechnologyEV,静岡理工科大学EV,,,,,,,,
,E02,University of YamanashiEV,山梨大学EV,,,,,,,,
,E04,Nagoya University,名古屋大学EV,,,,,,,,
,E08,Kanagawa Institute of Technology,神奈川工科大学EV,,,,,,,,
,E09,NISSAN AUTOMOBILE TECHNICAL COLLEGE KY,日産京都自動車大学校EV,,,,,,,,
,E10,Toyohashi University of TechnologyEV,豊橋技術科学大学EV,,,,,,,,
,E11,Aichi Institute of TechnologyEV,愛知工業大学EV,,,,,,,,
,E12,Tohoku University,東北大学EV,,,,,,,,
,E13,Institute of TechnologistsEV,ものつくり大学EV,,,,,,,,
,E14,Sophia University/Aoyama Gakuin University,上智大学/青山学院大学EV,,,,,,,,
,E15,Tokyo University of TechnologyEV,東京工科大学EV,,,,,,,,
,E16,Shizuoka Professional College of Automobile Techno,静岡工科自動車大学校EV,,,,,,,,
,E19,Yokohama National University,横浜国立大学EV,,,,,,,,
,E21,INSTITUT TEKNOLOGI SEPULUH NOPEMBEREV,INSTITUT TEKNOLOGI SEPULUH NOPEMBEREV,,,,,,,,
,E22,Tongji University EV,Tongji University EV,,,,,,,,
,E26,National Cheng Kung UniversityEV,National Cheng Kung UniversityEV,,,,,,,,
