Place,CarNo.,Team,Team.1,TotalScore,CostScore,PresentationScore,DesignScore,AccelerationScore,Skid PadScore,AutocrossScore,EnduranceScore,EfficiencyScore,Enduranceand EfficiencyScore,Penalty
1,1,Kyoto Institute of Technology,京都工芸繊維大学,856.49,78.27,66.03,132.0,49.97,75.0,125.0,275.0,65.22,340.22,-10.0
2,3,Nihon Automobile College,日本自動車大学校,716.81,38.03,40.76,85.0,69.1,62.19,109.5,253.46,58.77,312.23,
3,14,Gifu University,岐阜大学,689.32,34.5,57.06,95.0,41.71,68.7,109.78,223.23,59.34,282.57,
4,7,Kogakuin University,工学院大学,669.98,39.09,64.4,86.0,52.4,55.78,120.14,222.22,59.95,282.17,-30.0
5,8,Meijo University,名城大学,656.26,40.81,61.14,75.0,28.56,70.47,110.2,199.87,70.21,270.08,
6,20,Kobe University,神戸大学,655.83,51.12,53.8,81.0,63.66,58.16,92.82,191.48,63.79,255.27,
7,4,Chiba University,千葉大学,639.96,43.72,45.65,85.0,56.23,63.12,113.24,213.44,49.56,263.0,-30.0
8,17,Doshisha University,同志社大学,634.56,62.18,63.58,95.0,49.43,50.27,87.13,166.45,60.52,226.97,
9,5,Nippon Institute of Technology,日本工業大学,621.16,68.92,47.28,58.0,31.02,51.4,92.6,198.26,73.68,271.94,
10,51,Prince of Songkhla University,Prince of Songkhla University,610.75,32.11,47.28,73.0,64.26,50.65,98.02,198.96,56.47,255.43,-10.0
11,10,Honda Technical College Kanto,ホンダテクニカルカレッジ関東,577.1,38.18,58.69,64.0,10.6,56.32,85.74,192.84,80.73,273.57,-10.0
12,18,Kyushu Institute of Technology,九州工業大学,576.02,75.74,53.8,83.0,60.82,54.73,93.08,130.54,44.31,174.85,-20.0
13,2,Kyoto University,京都大学,537.32,66.03,65.21,140.0,4.5,,101.2,119.98,40.4,160.38,
14,9,Ibaraki University,茨城大学,534.94,48.45,44.83,58.0,45.71,60.49,86.02,139.08,52.36,191.44,
15,E04,Nagoya University,名古屋大学EV,522.71,36.81,75.0,150.0,100.0,63.66,97.24,10.0,,10.0,-10.0
16,32,Shibaura Institute of Technology,芝浦工業大学,501.77,26.31,57.06,79.0,4.5,3.5,100.32,179.29,51.79,231.08,
17,13,Sanyo-Onoda City University,山陽小野田市立山口東京理科大学,475.48,38.26,19.56,61.0,34.99,8.44,76.31,187.05,59.87,246.92,-10.0
18,15,Teikyo University,帝京大学,472.17,13.0,46.46,56.0,38.95,62.51,94.43,118.22,42.6,160.82,
19,26,Tokyo Metropolitan University,東京都立大学,451.0,44.54,41.57,62.0,36.36,34.2,77.72,117.67,36.94,154.61,
20,E05,Nagoya Institute of TechnologyEV,名古屋工業大学EV,445.13,19.32,59.51,79.0,15.59,39.74,94.29,43.47,94.21,137.68,
