Place,CarNo.,Team,Team.1,D1 Run 1 Time R,D1 Run 1 Time L,D1 Run 1 # ofCones,D1 Run 1 Adj.,D1 Run 2 Time R,D1 Run 2 Time L,D1 Run 2 # ofCones,D1 Run 2 Adj.,D2 Run 1 Time R,D2 Run 1 Time L,D2 Run 1 # ofCones,D2 Run 1 Adj.,D2 Run 2 Time R,D2 Run 2 Time L,D2 Run 2 # ofCones,D2 Run 2 Adj.,Vio Count,Best Time,Event Score
1,1,Kyoto Institute of Technology,京都工芸繊維大学,5.217,5.315,0,5.266,5.049,5.046,0,5.047,,,,DNF,,,,DNF,0,5.047,75.0
2,8,Meijo University,名城大学,5.095,5.117,0,5.106,5.317,4.958,0,5.137,,,,DNF,,,,DNF,0,5.106,70.47
3,14,Gifu University,岐阜大学,5.394,5.327,0,5.360,,,,DNF,5.130,5.184,0,5.157,5.146,5.113,0,5.129,0,5.129,68.7
4,E04,Nagoya University,名古屋大学EV,5.258,5.138,0,5.198,5.215,5.200,0,5.207,,,,DNF,,,,DNF,0,5.198,63.66
5,4,Chiba University,千葉大学,5.271,5.305,0,5.288,5.250,5.161,0,5.205,,,,DNF,,,,DNF,0,5.205,63.12
6,15,Teikyo University,帝京大学,5.257,5.176,0,5.216,5.206,5.222,0,5.214,6.137,5.839,4,6.488,5.949,5.637,4,6.293,0,5.214,62.51
7,3,Nihon Automobile College,日本自動車大学校,5.278,5.317,0,5.297,5.211,5.226,0,5.218,5.380,5.472,0,5.426,5.274,5.239,0,5.256,0,5.218,62.19
8,9,Ibaraki University,茨城大学,5.887,5.774,1,5.955,5.410,5.328,1,5.494,5.368,5.117,0,5.242,5.157,5.410,1,5.408,0,5.242,60.49
9,20,Kobe University,神戸大学,5.329,5.223,0,5.276,5.698,5.353,2,5.775,,,,DNF,,,,DNF,0,5.276,58.16
10,10,Honda Technical College Kanto,ホンダテクニカルカレッジ関東,5.746,5.301,0,5.523,5.256,5.350,0,5.303,5.703,5.342,0,5.522,5.352,5.319,0,5.335,0,5.303,56.32
11,7,Kogakuin University,工学院大学,5.259,5.486,0,5.372,5.319,5.303,0,5.311,5.247,5.492,0,5.369,5.515,5.244,0,5.379,0,5.311,55.78
12,18,Kyushu Institute of Technology,九州工業大学,5.820,5.343,0,5.581,5.476,5.177,0,5.326,5.499,5.375,1,5.562,5.510,5.211,0,5.360,0,5.326,54.73
13,24,Toyota Technical College Nagoya,トヨタ名古屋自動車大学校,5.523,5.219,0,5.371,5.309,5.575,0,5.442,5.593,5.320,0,5.456,5.351,5.315,0,5.333,0,5.333,54.3
14,5,Nippon Institute of Technology,日本工業大学,5.430,5.324,0,5.377,5.541,5.333,0,5.437,5.562,5.559,0,5.560,5.827,5.584,0,5.705,0,5.377,51.4
15,51,Prince of Songkhla University,Prince of Songkhla University,5.556,5.296,0,5.426,5.441,5.336,0,5.388,5.426,5.420,0,5.423,,,,DNF,0,5.388,50.65
16,17,Doshisha University,同志社大学,5.433,5.478,0,5.455,5.431,5.358,0,5.394,5.723,5.679,0,5.701,5.368,5.436,0,5.402,0,5.394,50.27
17,6,University of Toyama,富山大学,6.527,6.511,0,6.519,6.001,6.718,2,6.609,5.288,5.387,1,5.462,5.181,5.637,0,5.409,0,5.409,49.33
18,12,Tokyo University of Agriculture andTechnology,東京農工大学,5.420,5.615,0,5.517,5.441,5.379,0,5.410,5.686,6.857,4,6.771,5.659,5.433,0,5.546,0,5.410,49.27
19,16,"College of Science andTechnology, Nihon University",日本大学理工学部,,,,DNF,5.656,5.307,0,5.481,5.661,5.259,0,5.460,5.574,5.304,0,5.439,0,5.439,47.43
20,23,Waseda University,早稲田大学,5.539,5.402,0,5.470,,,,DNF,,,,DNF,,,,DNF,0,5.470,45.47
21,E05,Nagoya Institute of TechnologyEV,名古屋工業大学EV,5.842,5.630,0,5.736,5.558,5.573,0,5.565,,,,DNF,5.627,5.658,0,5.642,0,5.565,39.74
22,26,Tokyo Metropolitan University,東京都立大学,5.793,6.005,0,5.899,5.538,5.787,0,5.662,,,,DNF,,,,DNF,0,5.662,34.2
23,E07,Shizuoka UniversityEV,静岡大学EV,5.769,5.843,0,5.806,5.526,5.839,0,5.682,,,,DNF,5.634,5.946,0,5.790,0,5.682,33.09
24,E01,Shizuoka Institute of Science andTechnologyEV,静岡理工科大学EV,5.850,5.535,0,5.692,5.929,5.743,0,5.836,,,,DNF,,,,DNF,0,5.692,32.54
25,27,Hokkaido University,北海道大学,5.921,6.034,6,6.727,6.025,5.838,2,6.181,5.325,6.614,0,5.969,5.385,6.036,0,5.710,0,5.710,31.55
26,39,Okayama University,岡山大学,6.529,6.144,0,6.336,5.977,5.734,0,5.855,,,,DNF,,,,DNF,0,5.855,23.96
27,22,Osaka University,大阪大学,6.029,5.867,0,5.948,,,,DNF,,,,DNF,,,,DNF,0,5.948,19.41
28,30,"College of Industrial Technology,Nihon University",日本大学生産工学部,6.314,5.814,2,6.314,6.177,5.932,0,6.054,,,,DNF,,,,DNF,0,6.054,14.42
29,37,The University of Kitakyushu,北九州市立大学,8.044,7.487,0,7.765,6.280,5.953,0,6.116,,,,DNF,,,,DNF,0,6.116,11.64
30,13,Sanyo-Onoda City University,山陽小野田市立山口東京理科大学,7.409,6.672,4,7.540,6.993,5.999,2,6.746,6.307,6.110,1,6.333,6.004,6.126,1,6.190,0,6.190,8.44
31,28,Honda Technical College Kansai,ホンダテクニカルカレッジ関西,6.752,5.650,0,6.201,12.197,5.852,0,9.024,,,,DNF,,,,DNF,0,6.201,7.98
32,32,Shibaura Institute of Technology,芝浦工業大学,8.403,7.931,0,8.167,8.002,7.451,0,7.726,,,,DNF,,,,DNF,0,7.726,3.5
32,E03,The University of TokyoEV,東京大学EV,,,,DNF,6.589,6.440,0,6.514,,,,DNF,,,,DNF,0,6.514,3.5
34,38,Kindai University,近畿大学,,,,DNF,,,,DNF,,,,DNF,,,,DNF,0,DNF,0.0
34,E09,NISSAN AUTOMOBILETECHNICAL COLLEGEKYOTOEV,日産京都自動車大学校EV,,,,DNF,,,,DNF,,,,DNF,,,,DNF,0,DNF,0.0
,2,Kyoto University,京都大学,,,,,,,,,,,,,,,,,0,,
,11,Saitama University,埼玉大学,,,,,,,,,,,,,,,,,0,,
,19,Kurume Institute of Technology,久留米工業大学,,,,,,,,,,,,,,,,,0,,
,21,Niigata University,新潟大学,,,,,,,,,,,,,,,,,0,,
,25,OSAKA INSTITUTE OFTECHNOLOGY,大阪工業大学,,,,,,,,,,,,,,,,,0,,
,29,Tokyo Univercity of Science,東京理科大学,,,,,,,,,,,,,,,,,0,,
,33,Tokyo City University,東京都市大学,,,,,,,,,,,,,,,,,0,,
,34,Ritsumeikan university,立命館大学,,,,,,,,,,,,,,,,,0,,
,35,Fukui Univercity od Tecnology,福井工業大学,,,,,,,,,,,,,,,,,0,,
,36,Gunma University,群馬大学,,,,,,,,,,,,,,,,,0,,
,40,Kanazawa Institute of Technology,金沢工業大学,,,,,,,,,,,,,,,,,0,,
,41,Tottori University,鳥取大学,,,,,,,,,,,,,,,,,0,,
,42,Nishinippon Institute of Technology,西日本工業大学,,,,,,,,,,,,,,,,,0,,
,43,Hiroshima Institute of Technology,広島工業大学,,,,,,,,,,,,,,,,,0,,
,44,Meisei University,明星大学,,,,,,,,,,,,,,,,,0,,
,47,Osaka Metropolitan University,大阪公立大学,,,,,,,,,,,,,,,,,0,,
,48,sojo university,崇城大学,,,,,,,,,,,,,,,,,0,,
,49,Tohoku Gakuin University,東北学院大学,,,,,,,,,,,,,,,,,0,,
,50,Kanazawa University,金沢大学,,,,,,,,,,,,,,,,,0,,
,52,Khulna University of Engineering &Technology,Khulna University of Engineering &Technology,,,,,,,,,,,,,,,,,0,,
,56,Universitas Sebelas Maret,Universitas Sebelas Maret,,,,,,,,,,,,,,,,,0,,
,E02,University of YamanashiEV,山梨大学EV,,,,,,,,,,,,,,,,,0,,
,E08,Kanagawa Institute of Technology,神奈川工科大学EV,,,,,,,,,,,,,,,,,0,,
,E10,Toyohashi University ofTechnologyEV,豊橋技術科学大学EV,,,,,,,,,,,,,,,,,0,,
,E11,Aichi Institute of TechnologyEV,愛知工業大学EV,,,,,,,,,,,,,,,,,0,,
,E12,Tohoku University,東北大学EV,,,,,,,,,,,,,,,,,0,,
,E13,Institute of TechnologistsEV,ものつくり大学EV,,,,,,,,,,,,,,,,,0,,
,E14,Sophia University/Aoyama GakuinUniversity,上智大学/青山学院大学EV,,,,,,,,,,,,,,,,,0,,
,E15,Tokyo University of TechnologyEV,東京工科大学EV,,,,,,,,,,,,,,,,,0,,
,E16,Shizuoka Professional College ofAutomobile TechnologyEV,静岡工科自動車大学校EV,,,,,,,,,,,,,,,,,0,,
,E19,Yokohama National University,横浜国立大学EV,,,,,,,,,,,,,,,,,0,,
,E21,INSTITUT TEKNOLOGI SEPULUHNOPEMBEREV,INSTITUT TEKNOLOGI SEPULUHNOPEMBEREV,,,,,,,,,,,,,,,,,0,,
,E22,Tongji University EV,Tongji University EV,,,,,,,,,,,,,,,,,0,,
,E26,National Cheng Kung UniversityEV,National Cheng Kung UniversityEV,,,,,,,,,,,,,,,,,0,,
