Place,CarNo.,Team,Team.1,TotalScore,CostScore,PresentationScore,DesignScore,AccelerationScore,Skid PadScore,AutocrossScore,EnduranceScore,EfficiencyScore,Enduranceand EfficiencyScore,Penalty All Penalties
1,C01,Kyoto Institute of Technology,京都工芸繊維大学,803.07,68.27,68.4,126.0,71.4,62.16,125.0,268.58,13.26,281.84,
2,E01,Nagoya University EV,名古屋大学EV,703.61,54.47,75.0,145.0,100.0,,106.16,169.41,53.57,222.98,
3,C06,Kobe University,神戸大学,698.06,71.01,65.93,84.0,76.86,40.85,101.67,246.47,11.27,257.74,
4,C02,Nihon Automobile College,日本自動車大学校,697.97,46.03,57.69,66.0,79.51,56.15,106.97,275.0,10.62,285.62,
5,C03,Gifu University,岐阜大学,652.53,28.88,35.43,103.0,31.21,74.44,106.47,272.82,10.28,283.10,-10.0
6,C09,Nippon Institute of Technology,日本工業大学,644.03,72.89,47.8,61.0,44.49,61.76,102.3,233.85,19.94,253.79,
7,C12,Kyoto University,京都大学,637.3,70.85,34.61,123.0,55.11,49.74,90.93,205.51,7.55,213.06,
8,C22,Osaka University,大阪大学,625.43,60.69,69.23,124.0,58.5,32.44,109.95,166.24,14.38,180.62,-10.0
9,C11,Kyushu Institute of Technology,九州工業大学,608.99,65.66,64.28,105.0,66.93,45.0,96.55,157.8,7.77,165.57,
10,E02,Nagoya Institute of TechnologyEV,名古屋工業大学EV,591.22,9.53,48.62,93.0,50.04,53.32,81.63,202.02,53.06,255.08,
11,C23,Tokyo University of Agriculture and Technology,東京農工大学,589.67,32.62,42.03,83.0,75.77,54.5,109.25,187.36,5.14,192.50,
12,C50,Jilin University,Jilin University,585.78,13.06,60.16,150.0,72.76,75.0,94.57,135.0,5.23,140.23,-20.0
13,C10,Honda Technical College Kanto,ホンダテクニカルカレッジ関東,530.92,29.16,55.21,61.0,20.23,46.8,79.71,218.8,20.01,238.81,
14,E03,The University of TokyoEV,東京大学EV,516.19,37.76,68.4,72.0,49.27,32.3,85.45,74.64,96.37,171.01,
15,C08,Doshisha University,同志社大学,506.13,93.82,57.69,118.0,56.09,66.58,103.95,10.0,,10.00,
16,C21,Nihon University College of Science of Technology,日本大学理工学部,504.21,19.97,51.92,85.0,53.88,37.64,109.05,160.62,6.13,166.75,-20.0
17,C18,Hokkaido University,北海道大学,482.94,27.62,33.79,78.0,59.39,32.55,94.73,168.04,8.82,176.86,-20.0
18,C14,Shibaura Institute of Technology,芝浦工業大学,479.66,24.44,49.45,82.0,65.52,41.73,85.54,121.18,9.8,130.98,
19,C17,Tokyo Metropolitan University,東京都立大学,439.98,50.69,60.98,62.0,39.38,44.66,87.03,93.01,2.23,95.24,
20,C15,Sanyo-onoda City University,山陽小野田市立山口東京理科大学,430.62,39.29,63.46,73.0,,,66.01,179.62,9.24,188.86,
21,C13,Ibaraki University,茨城大学,429.13,65.19,56.86,74.0,51.24,56.6,100.56,17.0,7.68,24.68,
