Place,Car No.,Team (EN),Team (JP),D1 Run 1 Time,D1 Run 1 # of Cones,D1 Run 1 Adj.,D1 Run 2 Time,D1 Run 2 # of Cones,D1 Run 2 Adj.,D2 Run 1 Time,D2 Run 1 # of Cones,D2 Run 1 Adj.,D2 Run 2 Time,D2 Run 2 # of Cones,D2 Run 2 Adj.,Viocount,Best Time,Event Score
1,C21,Chiba University,千葉大学,4.192 ,,4.192 ,4.181 ,,4.181 ,4.148 ,,4.148 ,3.967 ,,3.967 ,0,3.967 ,100.00 
2,C08,Kyushu Institute of Technology,九州工業大学,4.460 ,,4.460 ,4.504 ,,4.504 ,4.086 ,,4.086 ,4.036 ,,4.036 ,0,4.036 ,95.10 
3,C03,Nihon Automobile College,日本自動車大学校,4.110 ,,4.110 ,4.100 ,,4.100 ,4.221 ,,4.221 ,4.283 ,,4.283 ,0,4.100 ,90.70 
4,C14,Hokkaido University,北海道大学,4.193 ,,4.193 ,4.159 ,,4.159 ,4.287 ,,4.287 ,4.132 ,,4.132 ,0,4.132 ,88.55 
5,C07,The University of Osaka,大阪大学,4.185 ,,4.185 ,4.285 ,,4.285 ,4.178 ,,4.178 ,4.137 ,,4.137 ,0,4.137 ,88.22 
6,C41,Kasetsart University,Kasetsart University,4.264 ,,4.264 ,4.154 ,,4.154 ,4.245 ,,4.245 ,4.173 ,,4.173 ,0,4.154 ,87.10 
7,C06,Kyoto University,京都大学,4.492 ,,4.492 ,4.244 ,,4.244 ,4.191 ,,4.191 ,4.200 ,,4.200 ,0,4.191 ,84.68 
8,C22,Ritsumeikan University,立命館大学,4.227 ,,4.227 ,4.519 ,,4.519 ,4.411 ,,4.411 ,4.358 ,,4.358 ,0,4.227 ,82.37 
9,C12,Doshisha University,同志社大学,4.559 ,,4.559 ,4.635 ,,4.635 ,4.277 ,,4.277 ,4.259 ,,4.259 ,0,4.259 ,80.35 
10,C10,Jilin University,Jilin University,4.484 ,,4.484 ,4.277 ,,4.277 ,,,DNF,,,DNF,0,4.277 ,79.23 
11,C02,Kobe University,神戸大学,4.695 ,,4.695 ,4.358 ,,4.358 ,4.662 ,,4.662 ,4.614 ,,4.614 ,0,4.358 ,74.29 
12,C37,Kogakuin University,工学院大学,4.541 ,,4.541 ,4.394 ,,4.394 ,,,DNF,,,DNF,0,4.394 ,72.15 
