Place,CarNo.,Team,Team.1,D1 Run 1 Time R,D1 Run 1 Time L,D1 Run 1 # of Cones,D1 Run 1 Adj.,D1 Run 2 Time R,D1 Run 2 Time L,D1 Run 2 # of Cones,D1 Run 2 Adj.,D2 Run 1 Time R,D2 Run 1 Time L,D2 Run 1 # of Cones,D2 Run 1 Adj.,D2 Run 2 Time R,D2 Run 2 Time L,D2 Run 2 # of Cones,D2 Run 2 Adj.,Vio Count,Best Time,Event Score
1,C41,Kasetsart University,Kasetsart University,5.005 ,5.021 ,1,5.138 ,4.908 ,4.830 ,0,4.869 ,4.927 ,5.200 ,0,5.063 ,5.369 ,5.149 ,0,5.259 ,0,4.869 ,75.00 
2,C10,Jilin University,Jilin University,4.931 ,5.069 ,0,5.000 ,4.977 ,4.963 ,0,4.970 ,5.018 ,4.940 ,0,4.979 ,4.854 ,4.901 ,0,4.877 ,0,4.877 ,74.30 
3,C12,Doshisha University,同志社大学,,,,DNF,6.313 ,5.730 ,0,6.021 ,5.200 ,5.084 ,0,5.142 ,4.990 ,4.906 ,0,4.948 ,0,4.948 ,68.70 
4,C04,The University of Tokyo EV,岐阜大学,5.207 ,5.133 ,0,5.170 ,5.121 ,5.012 ,0,5.066 ,5.257 ,5.001 ,0,5.129 ,5.002 ,4.930 ,0,4.966 ,0,4.966 ,67.31 
5,C03,Nihon Automobile College,日本自動車大学校,5.067 ,5.100 ,2,5.333 ,5.107 ,5.140 ,2,5.373 ,5.131 ,5.051 ,0,5.091 ,5.040 ,5.014 ,0,5.027 ,0,5.027 ,62.71 
6,C18,Ibaraki University,茨城大学,5.378 ,5.282 ,1,5.455 ,5.033 ,5.033 ,0,5.033 ,5.099 ,5.070 ,1,5.209 ,5.130 ,5.187 ,0,5.158 ,0,5.033 ,62.26 
7,C21,Chiba University,千葉大学,5.237 ,5.436 ,6,6.086 ,5.141 ,4.951 ,0,5.046 ,5.222 ,5.054 ,0,5.138 ,5.287 ,4.929 ,2,5.358 ,0,5.046 ,61.31 
8,C01,Kyoto Institute of Technology,京都工芸繊維大学,5.062 ,5.143 ,0,5.102 ,4.960 ,5.143 ,0,5.051 ,,,,DNF,,,,DNF,0,5.051 ,60.90 
9,C37,Kogakuin University,工学院大学,5.478 ,5.318 ,1,5.523 ,5.221 ,5.242 ,0,5.231 ,5.086 ,5.187 ,1,5.261 ,5.055 ,5.067 ,0,5.061 ,0,5.061 ,60.21 
10,C23,Kanazawa University,金沢大学,5.109 ,5.050 ,0,5.079 ,5.037 ,5.169 ,0,5.103 ,,,,DNF,,,,DNF,0,5.079 ,58.87 
11,C05,Nippon Institute of Technology,日本工業大学,5.190 ,5.189 ,0,5.189 ,5.134 ,5.061 ,0,5.097 ,6.506 ,5.716 ,0,6.111 ,5.624 ,5.613 ,0,5.618 ,0,5.097 ,57.59 
12,C14,Hokkaido University,北海道大学,5.194 ,5.025 ,3,5.484 ,5.120 ,5.172 ,0,5.146 ,5.175 ,5.031 ,0,5.103 ,5.178 ,5.031 ,1,5.229 ,0,5.103 ,57.20 
13,C11,Honda Technical College Kanto,ホンダテクニカルカレッジ関東,,,,DNF,,,,DNF,5.404 ,5.464 ,0,5.434 ,5.162 ,5.159 ,0,5.160 ,0,5.160 ,53.19 
14,C07,The University of Osaka,大阪大学,5.140 ,5.242 ,0,5.191 ,5.101 ,5.238 ,1,5.294 ,5.226 ,5.191 ,0,5.208 ,5.061 ,5.264 ,3,5.537 ,0,5.191 ,51.12 
15,C24,Meijo University,名城大学,5.503 ,5.327 ,0,5.415 ,5.265 ,5.166 ,0,5.215 ,,,,DNF,,,,DNF,0,5.215 ,49.48 
16,C44,Shizuoka Professional College of Automobile Technology Sports,静岡工科自動車大学校,5.431 ,5.691 ,0,5.561 ,5.296 ,5.144 ,0,5.220 ,5.343 ,5.339 ,0,5.341 ,5.314 ,5.389 ,0,5.351 ,0,5.220 ,49.18 
17,C34,okayama univercity,岡山大学,5.951 ,5.638 ,0,5.794 ,5.572 ,5.309 ,0,5.440 ,5.600 ,5.481 ,0,5.540 ,5.360 ,5.101 ,0,5.230 ,0,5.230 ,48.49 
18,C32,OSAKA INSTITUTE OF TECHNOLOGY,大阪工業大学,5.161 ,5.199 ,1,5.305 ,5.335 ,5.134 ,0,5.234 ,5.261 ,5.211 ,0,5.236 ,5.321 ,5.216 ,0,5.268 ,0,5.234 ,48.23 
18,C45,Osaka Sangyo University,大阪産業大学,5.345 ,5.359 ,1,5.477 ,6.524 ,5.673 ,6,6.848 ,5.387 ,5.460 ,0,5.423 ,5.149 ,5.320 ,0,5.234 ,0,5.234 ,48.23 
20,C29,Teikyo University,帝京大学,5.262 ,5.344 ,0,5.303 ,5.165 ,5.316 ,0,5.240 ,5.505 ,5.601 ,0,5.553 ,5.317 ,5.251 ,0,5.284 ,0,5.240 ,47.83 
21,C22,Ritsumeikan University,立命館大学,5.219 ,5.292 ,0,5.255 ,5.277 ,5.317 ,0,5.297 ,,,,DNF,,,,DNF,0,5.255 ,46.86 
22,C02,Kobe University,神戸大学,5.568 ,5.243 ,0,5.405 ,5.495 ,5.118 ,0,5.306 ,,,,DNF,5.458 ,5.283 ,0,5.370 ,0,5.306 ,43.60 
23,C15,Shibaura Institute of Technology,芝浦工業大学,5.369 ,5.245 ,0,5.307 ,,,,DNF,,,,DNF,,,,DNF,0,5.307 ,43.56 
24,C17,Sanyo-Onoda City University,山陽小野田市立山口東京理科大学,5.282 ,5.270 ,1,5.401 ,5.224 ,5.193 ,2,5.458 ,5.914 ,5.933 ,2,6.173 ,5.471 ,5.264 ,0,5.367 ,0,5.367 ,39.82 
25,C08,Kyushu Institute of Technology,九州工業大学,5.461 ,5.495 ,1,5.603 ,5.397 ,5.483 ,0,5.440 ,5.723 ,5.465 ,0,5.594 ,5.645 ,5.421 ,0,5.533 ,0,5.440 ,35.49 
26,C06,Kyoto University,京都大学,5.571 ,5.441 ,0,5.506 ,5.767 ,5.242 ,0,5.504 ,,,0,DNF,,,0,DNF,0,5.504 ,31.78 
27,C19,The University of Kitakyushu,北九州市立大学,6.747 ,6.008 ,0,6.377 ,5.672 ,5.755 ,0,5.713 ,5.593 ,5.426 ,0,5.509 ,5.630 ,5.573 ,0,5.601 ,0,5.509 ,31.50 
28,C16,Tokyo Metropolitan University,東京都立大学,5.711 ,6.898 ,3,6.679 ,6.462 ,6.232 ,0,6.347 ,5.630 ,5.512 ,0,5.571 ,5.489 ,5.617 ,2,5.803 ,0,5.571 ,28.09 
29,C31,Osaka Metropolitan University,大阪公立大学,10.181 ,1.000 ,0,5.590 ,6.144 ,6.026 ,3,6.460 ,,,,DNF,,,,DNF,0,5.590 ,27.04 
30,C28,Honda Technical College Kansai,ホンダテクニカルカレッジ関西,6.182 ,5.600 ,0,5.891 ,5.722 ,5.514 ,0,5.618 ,5.725 ,6.642 ,0,6.183 ,5.699 ,7.475 ,0,6.587 ,0,5.618 ,25.57 
31,C13,"College of Science and Technology, Nihon University",日本大学理工学部,5.905 ,5.785 ,0,5.845 ,5.676 ,5.637 ,0,5.656 ,,,,DNF,,,,DNF,0,5.656 ,23.54 
32,C50,Sojo University.,崇城大学,6.679 ,5.784 ,0,6.231 ,6.182 ,5.506 ,1,5.969 ,6.461 ,6.278 ,0,6.369 ,5.961 ,5.665 ,0,5.813 ,0,5.813 ,15.73 
