Place,Car No.,Team,Team.1,Adjusted Cost: $(Include Penalty B),Price Score,Discussion Score(Include Penalty A),Scenario Score,Total Score
1,E06,富山大学EV,University of Toyama EV,35928,40.00 ,40.00 ,15.00 ,95.00 
2,E13,福井大学EV,University of Fukui EV,40601,28.53 ,16.30 ,15.00 ,59.83 
3,E01,名古屋大学EV,Nagoya University EV,54172,6.42 ,37.78 ,13.50 ,57.70 
4,E07,山梨大学EV,University of Yamanashi EV,38368,33.66 ,8.89 ,13.00 ,55.55 
5,E05,東北大学EV,Tohoku University EV,41785,26.03 ,12.59 ,15.00 ,53.62 
6,E21,横浜国立大学EV,Yokohama National University EV,38600,33.10 ,0.00 ,17.00 ,50.10 
7,E35,Prince of Songkla University EV,Prince of Songkla University EV,36971,37.19 ,0.00 ,11.00 ,48.19 
8,E09,日産京都自動車大学校EV,Nissan Automobile Technical College Kyoto EV,38930,32.31 ,0.00 ,11.00 ,43.31 
9,E03,東京大学EV,The University of Tokyo EV,42628,24.33 ,0.00 ,18.00 ,42.33 
10,E26,Rajshahi University of Engineering & Technology(RUET) EV,Rajshahi University of Engineering & Technology(RUET) EV,40634,28.45 ,0.00 ,12.00 ,40.45 
11,E11,愛知工業大学EV,Aichi Institute of Technology EV,39055,32.02 ,0.00 ,8.00 ,40.02 
12,E12,静岡大学EV,Shizuoka University EV,51864,9.37 ,17.78 ,10.00 ,37.15 
13,E04,上智大学EV,Sophia University EV,45717,18.65 ,0.00 ,9.00 ,27.65 
14,E22,トヨタ名古屋自動車大学校EV,Toyota Mobility Engineering College Nagoya EV,45769,18.56 ,0.00 ,9.00 ,27.56 
15,E02,名古屋工業大学EV,Nagoya Institute of Technology EV,47057,16.42 ,0.00 ,11.00 ,27.42 
16,E16,National Taiwan University EV,National Taiwan University EV,53480,7.28 ,0.00 ,16.00 ,23.28 
17,E08,Jilin University EV,Jilin University EV,60000,0.00 ,0.00 ,16.00 ,16.00 
18,E31,National Yang Ming Chiao Tung University EV,National Yang Ming Chiao Tung University EV,60000,0.00 ,0.00 ,14.00 ,14.00 
19,E33,Universitas Gadjah Mada EV,Universitas Gadjah Mada EV,60000,0.00 ,0.00 ,12.00 ,12.00 
20,E20,神奈川工科大学EV,Kanagawa Institute of Technology EV,54838,5.62 ,0.00 ,5.00 ,10.62 
21,E14,ものつくり大学EV,Institute of Technologists EV,60000,0.00 ,0.00 ,7.00 ,7.00 
22,E18,東京工科大学EV,Tokyo University of Technology EV,60000,0.00 ,0.00 ,4.00 ,4.00 
23,E19,一関工業高等専門学校/岩手大学EV,"National Institute of Technology, Ichinoseki College/Iwate University EV",60000,0.00 ,0.00 ,0.00 ,0.00 
,E10,Institut Teknologi Sepuluh Nopember EV,Institut Teknologi Sepuluh Nopember EV,,,,,
,E23,旭川工業高等専門学校EV,National Institute of Technology Asahikawa College EV,,,,,
