Place,Car No.,Team,Team.1,Score
1,E03,東京大学EV,The University of Tokyo EV,75.00 
2,E10,Institut Teknologi Sepuluh Nopember EV,Institut Teknologi Sepuluh Nopember EV,66.75 
3,E06,富山大学EV,University of Toyama EV,61.81 
4,E21,横浜国立大学EV,Yokohama National University EV,59.34 
5,E31,National Yang Ming Chiao Tung University EV,National Yang Ming Chiao Tung University EV,56.04 
5,E33,Universitas Gadjah Mada EV,Universitas Gadjah Mada EV,56.04 
7,E01,名古屋大学EV,Nagoya University EV,53.57 
7,E09,日産京都自動車大学校EV,Nissan Automobile Technical College Kyoto EV,53.57 
9,E16,National Taiwan University EV,National Taiwan University EV,50.27 
10,E11,愛知工業大学EV,Aichi Institute of Technology EV,48.62 
11,E05,東北大学EV,Tohoku University EV,47.80 
11,E13,福井大学EV,University of Fukui EV,47.80 
13,E22,トヨタ名古屋自動車大学校EV,Toyota Mobility Engineering College Nagoya EV,46.97 
14,E02,名古屋工業大学EV,Nagoya Institute of Technology EV,46.15 
14,E12,静岡大学EV,Shizuoka University EV,46.15 
16,E08,Jilin University EV,Jilin University EV,45.32 
17,E04,上智大学EV,Sophia University EV,43.68 
17,E35,Prince of Songkla University EV,Prince of Songkla University EV,43.68 
19,E19,一関工業高等専門学校/岩手大学EV,"National Institute of Technology, Ichinoseki College/Iwate University EV",42.85 
19,E26,Rajshahi University of Engineering & Technology(RUET)EV,Rajshahi University of Engineering & Technology(RUET) EV,42.85 
21,E07,山梨大学EV,University of Yamanashi EV,37.08 
22,E14,ものつくり大学EV,Institute of Technologists EV,33.79 
22,E20,神奈川工科大学EV,Kanagawa Institute of Technology EV,33.79 
24,E23,旭川工業高等専門学校EV,National Institute of Technology Asahikawa College EV,14.01 
,E18,東京工科大学EV,Tokyo University of Technology EV,
