Place,Car No.,Team (EN),Team (JP),Run #1 Time,Run #1 # of Cones,Run #1 Off Course / Missed Slalom,Run #1 Adj.,Run #2 Time,Run #2 # of Cones,Run #2 Off Course / Missed Slalom,Run #2 Adj.,Run #3 Time,Run #3 # of Cones,Run #3 Off Course / Missed Slalom,Run #3 Adj.,Run #4 Time,Run #4 # of Cones,Run #4 Off Course / Missed Slalom,Run #4 Adj.,Viocount,Best Time,Event Score
1,C02,Doshisha University,同志社大学,66.619,0,0,66.619,66.574,1,0,68.574,66.82,1,0,68.82,64.455,0,0,64.455,0,64.455,125
2,C07,Hokkaido University,北海道大学,68.481,0,0,68.481,67.075,0,0,67.075,64.649,2,0,68.649,64.819,0,0,64.819,0,64.819,122.85
3,C01,Kyoto Institute of Technology,京都工芸繊維大学,65.947,0,0,65.947,65.077,0,0,65.077,69.722,2,0,73.722,66.492,1,0,68.492,0,65.077,121.35
4,C12,Kogakuin University,工学院大学,70.054,5,0,80.054,65.819,0,0,65.819,66.459,0,0,66.459,65.596,0,0,65.596,0,65.596,118.35
5,C03,The University of Osaka,大阪大学,65.883,0,0,65.883,65.983,1,0,67.983,67.578,2,0,71.578,65.273,1,0,67.273,0,65.883,116.72
6,C09,Chiba University,千葉大学,66.674,0,0,66.674,65.986,0,0,65.986,68.418,0,0,68.418,,,,DNF,0,65.986,116.14
7,C06,Gifu University,岐阜大学,,,,DNF,,,,DNF,70.383,0,0,70.383,66.105,0,0,66.105,0,66.105,115.46
8,C05,Nihon Automobile College,日本自動車大学校,66.885,0,0,66.885,66.481,0,0,66.481,68.117,0,0,68.117,66.425,0,0,66.425,0,66.425,113.67
9,C15,Ritsumeikan University,立命館大学,66.803,0,0,66.803,67.105,0,0,67.105,69.907,1,0,71.907,89.622,0,1,109.622,0,66.803,111.57
10,C20,Waseda University,早稲田大学,67.533,0,0,67.533,67.641,0,0,67.641,69.614,0,0,69.614,67.145,0,0,67.145,0,67.145,109.7
