Place,Car No.,Team,Team.1,Score,Final
,C02,同志社大学,Doshisha University,FINAL,Final進出
2,C10,九州工業大学,Kyushu Institute of Technology,103.2,
3,C03,大阪大学,The University of Osaka,102.4,
4,C07,北海道大学,Hokkaido University,96.9,
5,C01,京都工芸繊維大学,Kyoto Institute of Technology,88.5,
6,C20,早稲田大学,Waseda University,80.4,
7,C04,Kasetsart University,Kasetsart University,80.1,
8,C09,千葉大学,Chiba University,79.8,
9,C06,岐阜大学,Gifu University,76.4,
10,C30,広島工業大学,Hiroshima Institute of Technology,73.6,
11,C17,日本大学理工学部,"College of Science and Technology, Nihon University",69.2,
12,C08,茨城大学,Ibaraki University,67.5,
13,C26,京都大学,Kyoto University,66.9,
14,C22,神戸大学,Kobe University,64.7,
15,C36,東京都市大学,Tokyo City University,63.8,
16,C12,工学院大学,Kogakuin University,63.1,
17,C05,日本自動車大学校,Nihon Automobile College,60.2,
18,C18,日本大学生産工学部,"College of Industrial Technology, Nihon University",55.6,
19,C41,東海大学,Tokai University,54.9,
20,C42,東京農工大学,Tokyo University of Agriculture and Technology,52.6,
21,C58,埼玉大学,Saitama University,51.1,
22,C16,金沢大学,Kanazawa University,50.1,
23,C62,Universiti Putra Malaysia,Universiti Putra Malaysia,49.2,
24,C15,立命館大学,Ritsumeikan University,48.3,
25,C13,山陽小野田市立山口東京理科大学,Sanyo-Onoda City University,43.4,
26,C32,芝浦工業大学,Shibaura Institute of Technology,43.0,
27,C21,岡山大学,Okayama University,42.8,
28,C34,大阪工業大学,Osaka Institute of Technology,39.5,
29,C11,日本工業大学,Nippon Institute of Technology,39.2,
30,C25,帝京大学,Teikyo University,38.6,
31,C60,新潟大学,Niigatadaigaku,36.5,
32,C45,久留米工業大学,Kurume Institute of Technology,35.6,
33,C14,ホンダテクニカルカレッジ関東,Honda Technical College Kanto,35.3,
34,C49,沼津工業高等専門学校,"National Institute of Technology, Numazu College",34.0,
34,C64,Institut Teknologi Sepuluh Nopember,Institut Teknologi Sepuluh Nopember,34.0,
36,C27,大阪産業大学,Osaka Sangyo University,33.7,
37,C40,崇城大学,Sojo University,31.1,
38,C28,ホンダテクニカルカレッジ関西,Honda Technical College Kansai,29.1,
39,C37,大阪公立大学,Osaka Metropolitan University,28.5,
40,C31,静岡工科自動車大学校,Shizuoka Professional College of Automobile Technology Sports,27.9,
41,C53,福井工業大学,Fukui University of Technology,26.5,
42,C43,明星大学,Meisei University,26.4,
43,C51,湘南工科大学,Shonan Institute of Technology,25.5,
44,C19,北九州市立大学,The University of Kitakyushu,22.2,
45,C38,広島大学,HiroshimaUniversity,17.0,
46,C44,鳥取大学,Tottori University,16.1,
47,C56,千葉工業大学,Chiba Institute of Technology,14.6,
48,C55,東北学院大学,Tohoku Gakuin University,13.0,
49,C57,豊田工業高等専門学校,"National Institute of Technology, Toyota College",7.2,
,C35,名城大学,Meijo University,,
,C46,群馬大学,Gunma university,,
,C47,近畿大学,Kindai University,,
,C50,Institut Teknologi Bandung,Institut Teknologi Bandung,,
,C54,青山学院大学,Aoyama Gakuin University,,
