Place,Car No.,Team,Team.1,Ave. Adj.Laptime,Laps,Fuel Used,Adj. CO2,kg CO2/100km,Ave. Adj. CO2/Lap,Eff. Factor,Eff. Score
1,C14,Honda Technical College Kanto,ホンダテクニカルカレッジ関東,791.609,10.0,0.95,2.195,22.393,0.219,0.933,100.0
2,C11,Nippon Institute of Technology,日本工業大学,781.514,10.0,1.232,2.846,29.04,0.285,0.729,69.78
3,C21,Okayama University,岡山大学,792.269,10.0,1.57,3.627,37.007,0.363,0.564,45.42
4,C05,Nihon Automobile College,日本自動車大学校,747.015,10.0,1.695,3.915,39.954,0.392,0.554,43.95
5,C19,The University of Kitakyushu,北九州市立大学,860.536,10.0,1.484,3.428,34.98,0.343,0.55,43.25
6,C34,Osaka Institute of Technology,大阪工業大学,573.956,7.0,1.111,2.566,37.411,0.367,0.539,41.73
7,C01,Kyoto Institute of Technology,京都工芸繊維大学,750.163,10.0,1.769,4.086,41.698,0.409,0.529,40.19
8,C06,Gifu University,岐阜大学,752.279,10.0,1.769,4.086,41.698,0.409,0.527,39.97
9,C07,Hokkaido University,北海道大学,792.775,10.0,1.754,4.052,41.344,0.405,0.505,36.62
10,C09,Chiba University,千葉大学,783.728,10.0,1.782,4.116,42.004,0.412,0.503,36.29
11,C60,Niigatadaigaku,新潟大学,897.943,10.0,1.599,3.694,37.691,0.369,0.489,34.26
12,C30,Hiroshima Institute of Technology,広島工業大学,892.912,10.0,1.665,3.846,39.246,0.385,0.472,31.79
13,C02,Doshisha University,同志社大学,738.915,10.0,2.097,4.844,49.429,0.484,0.453,28.96
14,C26,Kyoto University,京都大学,832.679,10.0,1.964,4.537,46.294,0.454,0.429,25.44
15,C32,Shibaura Institute of Technology,芝浦工業大学,911.914,10.0,1.853,4.28,43.678,0.428,0.415,23.4
16,C03,The University of Osaka,大阪大学,743.601,10.0,2.288,5.285,53.931,0.529,0.413,22.98
17,C10,Kyushu Institute of Technology,九州工業大学,762.995,10.0,2.297,5.306,54.144,0.531,0.401,21.2
18,C36,Tokyo City University,東京都市大学,841.166,10.0,2.095,4.839,49.382,0.484,0.398,20.87
19,C58,Saitama University,埼玉大学,807.981,10.0,2.243,5.181,52.871,0.518,0.387,19.25
20,C04,Kasetsart University,Kasetsart University,768.812,10.0,2.481,5.731,58.481,0.573,0.368,16.39
21,C25,Teikyo University,帝京大学,787.333,10.0,2.472,5.71,58.269,0.571,0.361,15.3
22,C42,Tokyo University of Agriculture and Technology,東京農工大学,870.006,10.0,2.389,5.519,56.312,0.552,0.338,11.91
23,C22,Kobe University,神戸大学,849.291,10.0,2.5,5.775,58.929,0.578,0.331,10.86
24,C15,Ritsumeikan University,立命館大学,768.679,10.0,2.997,6.923,70.644,,,0.0
24,C28,Honda Technical College Kansai,ホンダテクニカルカレッジ関西,938.989,10.0,2.615,6.041,61.639,,,0.0
24,C41,Tokai University,東海大学,1173.483,10.0,2.108,4.869,49.689,,,0.0
,C08,Ibaraki University,茨城大学,,,,,,,,
,C12,Kogakuin University,工学院大学,,,,,,,,
,C13,Sanyo-Onoda City University,山陽小野田市立山口東京理科大学,,,,,,,,
,C16,Kanazawa University,金沢大学,,,,,,,,
,C17,"College of Science and Technology, Nihon University",日本大学理工学部,,,,,,,,
,C18,"College of Industrial Technology, Nihon University",日本大学生産工学部,,,,,,,,
,C27,Osaka Sangyo University,大阪産業大学,,,,,,,,
,C31,Shizuoka Professional College of Automobile Technology Sports,静岡工科自動車大学校,,,,,,,,
,C35,Meijo University,名城大学,,,,,,,,
,C37,Osaka Metropolitan University,大阪公立大学,,,,,,,,
,C38,HiroshimaUniversity,広島大学,,,,,,,,
,C40,Sojo University,崇城大学,,,,,,,,
,C43,Meisei University,明星大学,,,,,,,,
,C44,Tottori University,鳥取大学,,,,,,,,
,C45,Kurume Institute of Technology,久留米工業大学,,,,,,,,
,C46,Gunma university,群馬大学,,,,,,,,
,C47,Kindai University,近畿大学,,,,,,,,
,C49,"National Institute of Technology, Numazu College",沼津工業高等専門学校,,,,,,,,
,C50,Institut Teknologi Bandung,Institut Teknologi Bandung,,,,,,,,
,C51,Shonan Institute of Technology,湘南工科大学,,,,,,,,
,C53,Fukui University of Technology,福井工業大学,,,,,,,,
,C54,Aoyama Gakuin University,青山学院大学,,,,,,,,
,C55,Tohoku Gakuin University,東北学院大学,,,,,,,,
,C56,Chiba Institute of Technology,千葉工業大学,,,,,,,,
,C57,"National Institute of Technology, Toyota College",豊田工業高等専門学校,,,,,,,,
,C62,Universiti Putra Malaysia,Universiti Putra Malaysia,,,,,,,,
,C64,Institut Teknologi Sepuluh Nopember,Institut Teknologi Sepuluh Nopember,,,,,,,,
