Place,CarNo.,Team (EN),Team (JP),Total Score,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Design Document Late Submission,Non-participation in Design Event,Cost Document Late Submission,Non-participationin Cost Event,Presentation Document Late Submission,Non-participationin Presentation Event,Inspection Document Late Submission,Noise After Endurance,Total Penalties
1,C02,Doshisha University,同志社大学,895.8,74.67,75,150,92.17,75,125,275,28.96,,,,,,,,,
2,C01,Kyoto Institute of Technology,京都工芸繊維大学,805.52,75.17,73.27,88.5,80.26,63.86,121.35,262.92,40.19,,,,,,,,,
3,C10,Kyushu Institute of Technology,九州工業大学,768.32,68.67,69.82,103.2,100,49.18,106.68,249.57,21.2,,,,,,,,,
4,C03,The University of Osaka,大阪大学,766.56,48.15,68.1,102.4,65.24,73.05,116.72,269.92,22.98,,,,,,,,,
5,C05,Nihon Automobile College,日本自動車大学校,736.29,34.68,63.79,60.2,88.29,65.45,113.67,266.26,43.95,,,,,,,,,
6,C06,Gifu University,岐阜大学,691.6,25.45,50,76.4,80,63.64,115.46,260.68,39.97,,,,,,,,-20,-20
7,C07,Hokkaido University,北海道大学,689.27,23.83,50,96.9,93.01,65.79,122.85,200.27,36.62,,,,,,,,,
8,C09,Chiba University,千葉大学,665.98,24.79,60.34,79.8,94.69,45,116.14,228.93,36.29,,,-20,,,,,,-20
9,C11,Nippon Institute of Technology,日本工業大学,649.98,67.92,28.44,39.2,51.98,64.2,97.37,231.09,69.78,,,,,,,,,
10,C14,Honda Technical College Kanto,ホンダテクニカルカレッジ関東,602.22,27.39,43.96,35.3,10.65,62.82,100.73,221.37,100,,,,,,,,,
11,C22,Kobe University,神戸大学,598.94,74.78,47.41,64.7,82.75,46.68,101.46,170.3,10.86,,,,,,,,,
12,C04,Kasetsart University,Kasetsart University,597.18,19.77,50,80.1,91.28,56.51,109.46,223.67,16.39,-30,,,,,,-20,,-50
13,C15,Ritsumeikan University,立命館大学,572.01,9.17,37.93,48.3,78.87,62.37,111.57,223.8,0,,,,,,,,,
14,C26,Kyoto University,京都大学,568.24,65.13,50.86,66.9,64.79,34.54,76.29,184.29,25.44,,,,,,,,,
15,C21,Okayama University,岡山大学,551.96,21.1,59.48,42.8,52.64,27.62,82.15,220.75,45.42,,,,,,,,,
16,C25,Teikyo University,帝京大学,492.72,19.12,31.03,38.6,68.68,39.78,104.75,225.46,15.3,-50,,,,,,,,-50
17,C32,Shibaura Institute of Technology,芝浦工業大学,477.71,20.36,62.06,43,68.21,40.09,98.42,122.17,23.4,,,,,,,,,
18,C19,The University of Kitakyushu,北九州市立大学,451.32,18.07,36.2,22.2,33.43,42.41,94.62,161.14,43.25,,,,,,,,,
19,C58,Saitama University,埼玉大学,442.07,30.48,52.58,51.1,,,82.52,206.14,19.25,,,,,,,,,
20,C36,Tokyo City University,東京都市大学,429.61,24.26,33.62,63.8,18.05,25.55,86.39,177.07,20.87,,,-20,,,,,,-20
21,C30,Hiroshima Institute of Technology,広島工業大学,427.33,24.58,39.65,73.6,33.35,35.97,92.33,136.06,31.79,-20,,,,,,,-20,-40
22,C28,Honda Technical College Kansai,ホンダテクニカルカレッジ関西,408.06,41.09,40.51,29.1,60.15,45.48,88.38,103.35,0,,,,,,,,,
23,C12,Kogakuin University,工学院大学,390.28,25.4,50,63.1,81.53,51.9,118.35,,,,,,,,,,,
24,C17,"College of Science and Technology, Nihon University",日本大学理工学部,384.46,28.19,45.68,69.2,89.03,46.26,106.1,,,,,,,,,,,
25,C42,Tokyo University of Agriculture and Technology,東京農工大学,364.55,20.42,50,52.6,44.43,,71.57,153.62,11.91,,,-20,,,,,-20,-40
26,C08,Ibaraki University,茨城大学,356.81,36.09,42.24,67.5,71.61,51.02,88.35,,,,,,,,,,,
27,C20,Waseda University,早稲田大学,340.12,16.77,37.06,80.4,56.21,55.98,109.7,4,,,,-20,,,,,,-20
28,C60,Niigatadaigaku,新潟大学,330.62,13.99,28.44,36.5,35.83,3.5,85.77,92.33,34.26,,,,,,,,,
29,C41,Tokai University,東海大学,297.59,-30,45.68,54.9,65.07,39.51,97.43,25,0,,,,,,,,,
30,C34,Osaka Institute of Technology,大阪工業大学,263.73,20.07,31.89,39.5,12.89,47.27,83.38,7,41.73,,,-20,,,,,,-20
31,C13,Sanyo-Onoda City University,山陽小野田市立山口東京理科大学,244.4,24.37,62.06,43.4,61.41,51.9,61.26,,,,,-60,,,,,,-60
32,C45,Kurume Institute of Technology,久留米工業大学,199.13,24.78,41.37,35.6,30.96,25.41,41.01,,,,,,,,,,,
33,C53,Fukui University of Technology,福井工業大学,181.67,29.25,40.51,26.5,39.18,3.5,42.73,,,,,,,,,,,
34,C37,Osaka Metropolitan University,大阪公立大学,166.41,27.8,42.24,28.5,42.26,6.45,19.16,,,,,,,,,,,
35,C18,"College of Industrial Technology, Nihon University",日本大学生産工学部,158.44,45.09,57.75,55.6,,,,,,,,,,,,,,
36,C64,Institut Teknologi Sepuluh Nopember,Institut Teknologi Sepuluh Nopember,155.37,27.63,43.96,34,,,49.78,,,,,,,,,,,
37,C16,Kanazawa University,金沢大学,125.82,24.86,50.86,50.1,,,,,,,,,,,,,,
38,C43,Meisei University,明星大学,99.61,24.95,40.51,26.4,,,7.75,,,,,,,,,,,
39,C38,HiroshimaUniversity,広島大学,92.52,26.39,49.13,17,,,,,,,,,,,,,,
40,C40,Sojo University,崇城大学,89.09,18.57,31.89,31.1,4.5,,43.03,,,,,-40,,,,,,-40
41,C51,Shonan Institute of Technology,湘南工科大学,84.71,19.56,39.65,25.5,,,,,,,,,,,,,,
42,C31,Shizuoka Professional College of Automobile Technology Sports,静岡工科自動車大学校,73.42,9.03,27.58,27.9,,,8.91,,,,,,,,,,,
43,C62,Universiti Putra Malaysia,Universiti Putra Malaysia,58.57,8,41.37,49.2,,,,,,,,-20,,,,-20,,-40
44,C55,Tohoku Gakuin University,東北学院大学,54.21,18.84,20.68,13,4.5,3.5,33.69,,,,,-40,,,,,,-40
45,C27,Osaka Sangyo University,大阪産業大学,37.62,14.27,39.65,33.7,,,,,,-30,,-20,,,,,,-50
46,C56,Chiba Institute of Technology,千葉工業大学,29.86,1.7,37.06,14.6,,,6.5,,,-30,,,,,,,,-30
47,C54,Aoyama Gakuin University,青山学院大学,28.02,7.56,43.96,,,,6.5,,,,-30,,,,,,,-30
48,C50,Institut Teknologi Bandung,Institut Teknologi Bandung,23.96,,43.96,,,,,,,,,-20,,,,,,-20
49,C47,Kindai University,近畿大学,23.48,15.55,37.93,,,,,,,,-30,,,,,,,-30
50,C57,"National Institute of Technology, Toyota College",豊田工業高等専門学校,10.99,5,38.79,7.2,,,,,,,,-40,,,,,,-40
51,C44,Tottori University,鳥取大学,-2.81,5.58,15.51,16.1,,,,,,,,-20,,,,-20,,-40
52,C46,Gunma university,群馬大学,-3.97,,56.03,,,,,,,,,-40,,,,-20,,-60
53,C35,Meijo University,名城大学,-11.15,25.41,53.44,,,,,,,,-30,-60,,,,,,-90
54,C49,"National Institute of Technology, Numazu College",沼津工業高等専門学校,-24.63,,41.37,34,,,0,,,,,,-100,,,,,-100
