Place,Car No.,Team,Team.1,D1 Run 1 Time R,D1 Run 1 Time L,D1 Run 1 # of Cones,D1 Run 1 Adj.,D1 Run 2 Time R,D1 Run 2 Time L,D1 Run 2 # of Cones,D1 Run 2 Adj.,D2 Run 1 Time R,D2 Run 1 Time L,D2 Run 1 # of Cones,D2 Run 1 Adj.,D2 Run 2 Time R,D2 Run 2 Time L,D2 Run 2 # of Cones,D2 Run 2 Adj.,Vio Count,Best Time,Event Score
1,C02,Doshisha University,同志社大学,4.959,4.878,0,4.918,,,,DNF,4.967,4.917,0,4.942,4.854,4.853,0,4.853,0,4.853,75
2,C03,The University of Osaka,大阪大学,5.062,5.007,0,5.034,4.747,5.008,0,4.877,,,,DNF,,,,DNF,0,4.877,73.05
3,C07,Hokkaido University,北海道大学,5.13,5.061,2,5.345,5.135,5.072,0,5.103,,,,DNF,5.013,4.927,0,4.97,0,4.97,65.79
4,C05,Nihon Automobile College,日本自動車大学校,5.145,5.113,0,5.129,5.195,5.194,0,5.194,5.122,5.061,0,5.091,5.012,4.937,0,4.974,0,4.974,65.45
5,C11,Nippon Institute of Technology,日本工業大学,5.31,5.254,0,5.282,5.17,5.297,0,5.233,4.994,5.07,0,5.032,4.959,5.023,0,4.991,0,4.991,64.2
6,C01,Kyoto Institute of Technology,京都工芸繊維大学,5.176,5.048,0,5.112,5.175,4.886,0,5.03,5.114,5.003,0,5.058,5.074,4.917,0,4.995,0,4.995,63.86
7,C06,Gifu University,岐阜大学,5.012,4.985,0,4.998,5.049,5.088,0,5.068,,,,DNF,,,,DNF,0,4.998,63.64
8,C14,Honda Technical College Kanto,ホンダテクニカルカレッジ関東,5.439,5.306,0,5.372,5.23,5.19,0,5.21,5.106,5.021,0,5.063,5.015,5.004,0,5.009,0,5.009,62.82
9,C15,Ritsumeikan University,立命館大学,4.976,5.151,0,5.063,4.95,5.081,0,5.015,5.558,5.327,0,5.442,,,,DNF,0,5.015,62.37
10,C04,Kasetsart University,Kasetsart University,5.046,5.147,0,5.096,5.126,5.128,0,5.127,5.207,5.156,0,5.181,5.193,5.16,0,5.176,0,5.096,56.51
11,C20,Waseda University,早稲田大学,5.443,5.314,1,5.503,5.333,5.298,0,5.315,,,,DNF,4.995,5.213,0,5.104,0,5.104,55.98
12,C12,Kogakuin University,工学院大学,5.253,5.329,0,5.291,5.072,5.262,0,5.167,5.212,5.114,0,5.163,5.293,5.169,0,5.231,0,5.163,51.9
12,C13,Sanyo-Onoda City University,山陽小野田市立山口東京理科大学,5.503,5.464,0,5.483,5.075,5.251,0,5.163,5.772,5.704,0,5.738,5.243,5.311,0,5.277,0,5.163,51.9
14,C08,Ibaraki University,茨城大学,5.436,5.282,0,5.359,5.42,5.25,0,5.335,5.193,5.159,0,5.176,5.19,5.238,0,5.214,0,5.176,51.02
15,C10,Kyushu Institute of Technology,九州工業大学,5.731,5.595,0,5.663,5.328,5.539,0,5.433,5.292,5.359,0,5.325,5.074,5.333,0,5.203,0,5.203,49.18
16,C34,Osaka Institute of Technology,大阪工業大学,5.186,5.169,1,5.302,5.351,5.114,0,5.232,,,,DNF,,,,DNF,0,5.232,47.27
17,C22,Kobe University,神戸大学,5.589,5.298,0,5.443,5.257,5.226,0,5.241,5.588,5.395,0,5.491,5.319,5.359,1,5.464,0,5.241,46.68
18,C17,"College of Science and Technology, Nihon University",日本大学理工学部,5.117,5.324,2,5.47,5.012,5.484,0,5.248,6.185,5.951,1,6.193,5.599,5.652,0,5.625,0,5.248,46.26
