Place,Car No.,Team,Team.1,Score,Final
,E01,名古屋大学EV,Nagoya University EV,FINAL,Final進出
,E02,名古屋工業大学EV,Nagoya Institute of Technology EV,FINAL,Final進出
3,E11,National Taiwan University EV,National Taiwan University EV,97.8,
3,E12,Universitas Gadjah Mada EV,Universitas Gadjah Mada EV,97.8,
5,E05,富山大学EV,Univesity of Toyama EV,82.6,
6,E08,山梨大学EV,University of Yamanashi EV,82.0,
7,E10,東北大学EV,Tohoku University EV,81.8,
8,E24,京都工芸繊維大学EV,Kyoto Institute of Technology EV,81.6,
9,E14,National Yang Ming Chiao Tung University EV,National Yang Ming Chiao Tung University EV,78.8,
10,E04,東京大学EV,The University of Tokyo EV,65.2,
11,E09,上智大学EV,Sophia University EV,56.0,
12,E19,神奈川工科大学EV,Kanagawa Institute of Technology EV,55.6,
13,E07,横浜国立大学EV,Yokohama National University EV,51.9,
14,E13,日産京都自動車大学校EV,nissan automobile technical college kyoto EV,40.7,
15,E06,静岡大学EV,Shizuoka University EV,39.5,
16,E18,トヨタ名古屋自動車大学校EV,Toyota Mobility Engineering College Nagoya EV,36.6,
17,E26,静岡理工科大学EV,Shizuoka Institute of Science and Technology EV,34.8,
18,E15,福井大学EV,University of Fukui EV,34.7,
19,E22,東京工科大学EV,Tokyo University of Technology EV,24.3,
20,E20,ものつくり大学EV,Institute of Technologists EV,17.2,
21,E21,Institut Teknologi Sepuluh Nopember EV,Institut Teknologi Sepuluh Nopember EV,-30.0,
21,E28,National Cheng Kung University EV,National Cheng Kung University EV,-30.0,
,E16,愛知工業大学EV,Aichi Institute of Technology EV,,
